topic_id,size,name,keywords
81,4,81_data_personal data_privacy_customer privacy,"data, personal data, privacy, customer privacy, law, noticehttpswwwrevolutcomprivacypolicy, privacy noticehttpswwwrevolutcomprivacypolicy, ask, personal, branch revolut"
82,4,82_limits_limit_withdrawal_atm,"limits, limit, withdrawal, atm, reset, daily, protection limits, limit reset, monthly, wealth protection"
83,4,83_phone_criminal_sim_immediately,"phone, criminal, sim, immediately, police, message, signal, scammers, urgent, real"
84,3,84_report_fraudulent_terminate_freeze,"report, fraudulent, terminate, freeze, report fraudulent, atm withdrawal, atm, terminate card, transactions listhttpsapprevolutcomtransactionsrevolutapptransactionlist, scammer"
85,3,85_physical card_physical_ordering_teens revolut,"physical card, physical, ordering, teens revolut, business joint, order physical, ordering card, associated revolut, wont count, card"
86,3,86_freeze_freeze card_card_tap freeze,"freeze, freeze card, card, tap freeze, fraudulent, unauthorised, corner choose, choose card, used fraudulently, fraudulently"
87,3,87_adding money_visa_adding_card issuers,"adding money, visa, adding, card issuers, money account, issuers, money, methods, add money, topup"
88,3,88_revolut business_business_business account_personal revolut,"revolut business, business, business account, personal revolut, revolut, account separate, business app, learn revolut, app visit, anytime revolut"
89,3,89_currency_exchange_charged_conversion,"currency, exchange, charged, conversion, local currency, transaction currency, complete transaction, transaction, currency conversion, atm"
90,3,90_joint account_joint_select accounts_account send,"joint account, joint, select accounts, account send, balance select, add funds, account, payment method, accounts balance, account tap"
91,3,91_staking rewards_staking_crypto card_fee,"staking rewards, staking, crypto card, fee, theres limit, crypto, network, network fee, equivalent, rewards"
92,3,92_business activity_url_business_activity,"business activity, url, business, activity, website social, proof, linked business, geolink, maps, google maps"
93,3,93_confirmation_documents_confirmation document_document,"confirmation, documents, confirmation document, document, documents statements, access request, subject access, statements, download, details date"
94,3,94_benefits_partner_included_benefit,"benefits, partner, included, benefit, plan, partners, forms, downgrade plan, access, come"
95,3,95_circumstances_vulnerable_form_feel,"circumstances, vulnerable, form, feel, filled, finances, understand, circumstances include, emotionally, preferences"
96,3,96_official_device_security_applications,"official, device, security, applications, downloaded, app, stores, access, updates, procedure"
97,3,97_social media_social_media_seller,"social media, social, media, seller, scammers, legitimate, item, opportunity, highly, platform"
98,3,98_booking_manage booking_property_bookings,"booking, manage booking, property, bookings, stays, experiences, pay property, manage, vrbo, revpoints menu"
99,3,99_ramp_fees_applicable fees_displayed,"ramp, fees, applicable fees, displayed, revolut ramp, charged, applicable, paying, breakdown, payment"
100,3,100_collections_crypto_crypto learn_learn,"collections, crypto, crypto learn, learn, collection, crypto revolut, wallets, tokens, sending crypto, features"
101,3,101_details_account details_e14_swift,"details, account details, e14, swift, revolut address, details use, local, london, kingdom, united kingdom"
102,2,102_limit_limits_spending_reset,"limit, limits, spending, reset, equivalent, spending limits, topups, fees, spending limit, charge"
103,2,103_tracker_transfer_transfers_passed,"tracker, transfer, transfers, passed, incoming transfer, business, arrival, sending, business days, swift transfers"
104,2,104_phone number_recipient_unable send_forgotten passcode,"phone number, recipient, unable send, forgotten passcode, internal transfers, discoverable, forgotten, turned, make discoverable, access phone"
105,2,105_said_scammers_tactic_red,"said, scammers, tactic, red, loan, scam, red flags, trusted, flags, situation"
106,2,106_markets_prices_stock markets_displayed,"markets, prices, stock markets, displayed, bearish, bullish, price displayed, rising, stock prices, stock"
