title,topic_1,label_1,topic_2,label_2,p1,p2,margin
How much does it cost to accept payments with Revolut Pro?,13,13_pay_card_money_payment,45,Revolut Pro features and cashback,0.268,0.211,0.057
How do I move money out of my Revolut Pro account?,45,Revolut Pro features and cashback,14,Bank transfers to Revolut,0.333,0.276,0.057
Who regulates Revolut Bank and where can I complain?,19,Account move to Revolut Bank,4,Reporting vulnerable circumstances,0.308,0.25,0.058
Cancel a transaction on the Revolut Terminal,21,Declined card payments and balances,9,Transfer status and processing times,0.353,0.296,0.058
What are the Stocks and Shares ISA fees?,36,Trading fees and allowances,35,Stocks and Shares ISA,0.358,0.299,0.059
Revolut X top-ups and withdrawals,3,Crypto deposit troubleshooting,16,Currency exchange and transfer fees,0.29,0.23,0.06
How is the portfolio value calculated?,0,Trading order types,39,Corporate actions on shares,0.199,0.139,0.06
How can I view my travel insurance policy documents?,2,Travel insurance coverage,23,Purchase insurance coverage,0.287,0.226,0.061
Get started with Bonds,35,Stocks and Shares ISA,5,Revolut crypto trading and setup,0.176,0.112,0.064
How to make cash deposits,13,13_pay_card_money_payment,14,Bank transfers to Revolut,0.211,0.146,0.065
Edit the time on my Revolut Terminal,12,Account security features,10,Logging in with phone number,0.437,0.372,0.065
Card security settings,13,13_pay_card_money_payment,41,Physical card activation and replacement,0.21,0.143,0.066
Report a fraudulent transfer,1,Reporting scams and fraud,14,Bank transfers to Revolut,0.186,0.119,0.067
Order a paid plan card,28,Ordering physical cards,43,Gifting paid plans,0.286,0.218,0.067
Strange small charges on your card?,38,Virtual card usage and limits,1,Reporting scams and fraud,0.239,0.172,0.067
How are trips defined for travel analytics?,2,Travel insurance coverage,22,Cancel for any reason protection,0.273,0.206,0.067
How to withdraw funds from my investment account,0,Trading order types,29,Tax and national ID requirements,0.255,0.185,0.069
Premium plan,43,Gifting paid plans,11,Accessing plan partner subscriptions,0.256,0.186,0.069
Adding money to a Joint account,31,Joint account management,14,Bank transfers to Revolut,0.291,0.221,0.069
Review my information with CIFAS Marker,4,Reporting vulnerable circumstances,29,Tax and national ID requirements,0.385,0.313,0.072
Setting a monthly spending limit,21,Declined card payments and balances,13,13_pay_card_money_payment,0.422,0.35,0.072
Add money with Apple Pay or Google Pay,13,13_pay_card_money_payment,46,Adding cards to Apple Pay,0.212,0.139,0.073
Switching languages in the app,16,Currency exchange and transfer fees,12,Account security features,0.281,0.208,0.073
How to add money with a card,13,13_pay_card_money_payment,41,Physical card activation and replacement,0.222,0.148,0.074
Does Revolut offer services in Russia?,8,Supported currencies and cards,4,Reporting vulnerable circumstances,0.48,0.405,0.074
Metal plan,11,Accessing plan partner subscriptions,43,Gifting paid plans,0.242,0.167,0.075
Card payment fees and limits,13,13_pay_card_money_payment,24,Cash withdrawal and exchange fees,0.233,0.157,0.076
How do I log in to my Revolut Terminal?,10,Logging in with phone number,45,Revolut Pro features and cashback,0.382,0.306,0.076
Why was my Savings Accounts restricted or closed?,37,Instant Access Savings Interest Rates,31,Joint account management,0.227,0.15,0.077
How does the Clear Sky debit card support Ukraine?,4,Reporting vulnerable circumstances,28,Ordering physical cards,0.255,0.179,0.077
Why do I need to name the wallet owner for withdrawals?,38,Virtual card usage and limits,3,Crypto deposit troubleshooting,0.349,0.27,0.078
More help with sending money via a payment link,7,Schedule and cancel transfers,13,13_pay_card_money_payment,0.277,0.198,0.079
How to cancel a dispute,9,Transfer status and processing times,21,Declined card payments and balances,0.345,0.267,0.079
What are the fees for Revolut Ramp?,3,Crypto deposit troubleshooting,5,Revolut crypto trading and setup,0.423,0.344,0.079
Other crypto token information,5,Revolut crypto trading and setup,3,Crypto deposit troubleshooting,0.54,0.46,0.081
Kids & Teens Instant Access Savings,15,Kids and Teens Account Management,37,Instant Access Savings Interest Rates,0.365,0.283,0.081
Promotional cashback,45,Revolut Pro features and cashback,11,Accessing plan partner subscriptions,0.268,0.184,0.083
Hidden balance feature,10,Logging in with phone number,31,Joint account management,0.245,0.16,0.085
Sending money from Revolut to a bank account,14,Bank transfers to Revolut,9,Transfer status and processing times,0.271,0.184,0.087
What are partner benefits?,11,Accessing plan partner subscriptions,20,Downgrading paid plans,0.344,0.256,0.088
Why your card top-ups may be blocked,14,Bank transfers to Revolut,13,13_pay_card_money_payment,0.286,0.198,0.088
Start with Revolut Ramp,5,Revolut crypto trading and setup,3,Crypto deposit troubleshooting,0.274,0.185,0.089
Reasons you can trust Revolut,12,Account security features,4,Reporting vulnerable circumstances,0.2,0.111,0.089
How can my friend order a physical card?,6,Referral purchase requirements,28,Ordering physical cards,0.298,0.208,0.09
How can I get a full statement of my Ramp transaction?,3,Crypto deposit troubleshooting,33,Download statements and documents,0.323,0.232,0.091
Insufficient funds for scheduled transfer,7,Schedule and cancel transfers,9,Transfer status and processing times,0.294,0.2,0.094
Pay with Revolut Ramp,3,Crypto deposit troubleshooting,5,Revolut crypto trading and setup,0.332,0.238,0.094
Where can I use my Revolut card?,8,Supported currencies and cards,38,Virtual card usage and limits,0.251,0.156,0.096
My card has been used fraudulently,1,Reporting scams and fraud,41,Physical card activation and replacement,0.328,0.232,0.096
Send or request money from other Revolut customers,14,Bank transfers to Revolut,24,Cash withdrawal and exchange fees,0.234,0.138,0.097
Is physical card activation necessary before the deadline?,6,Referral purchase requirements,28,Ordering physical cards,0.303,0.206,0.097
Switch your account to Revolut,14,Bank transfers to Revolut,7,Schedule and cancel transfers,0.305,0.208,0.098
What will happen to my Joint account?,31,Joint account management,19,Account move to Revolut Bank,0.498,0.398,0.1
Bond credit ratings,17,Exchange Traded Products,35,Stocks and Shares ISA,0.489,0.386,0.103
Mobile plan access and payment,20,Downgrading paid plans,18,RevPoints earning and redemption,0.297,0.195,0.103
Do I have to pay for my trip using my Revolut account?,2,Travel insurance coverage,22,Cancel for any reason protection,0.312,0.209,0.104
Change my address,19,Account move to Revolut Bank,31,Joint account management,0.25,0.142,0.108
Why was I charged more than I was shown?,16,Currency exchange and transfer fees,24,Cash withdrawal and exchange fees,0.279,0.171,0.108
Authorised Push Payment fraud reimbursement exclusions,1,Reporting scams and fraud,4,Reporting vulnerable circumstances,0.215,0.106,0.109
What is Revolut ID?,10,Logging in with phone number,25,Identity verification documents,0.423,0.314,0.109
Documents and statements for my Savings accounts,33,Download statements and documents,37,Instant Access Savings Interest Rates,0.309,0.197,0.112
What account details should I use for incoming transfers?,16,Currency exchange and transfer fees,14,Bank transfers to Revolut,0.319,0.207,0.112
Warranty on Revolut Terminals,45,Revolut Pro features and cashback,4,Reporting vulnerable circumstances,0.354,0.241,0.114
What are non-tradable securities?,29,Tax and national ID requirements,17,Exchange Traded Products,0.32,0.206,0.115
Bank transfer fees,16,Currency exchange and transfer fees,14,Bank transfers to Revolut,0.334,0.218,0.116
Close my investment account,31,Joint account management,29,Tax and national ID requirements,0.352,0.236,0.116
Is there a fee associated with crypto staking?,5,Revolut crypto trading and setup,24,Cash withdrawal and exchange fees,0.519,0.403,0.116
Can I choose between Mastercard and Visa?,28,Ordering physical cards,38,Virtual card usage and limits,0.454,0.337,0.117
My transfer to another Revolut customer is pending,7,Schedule and cancel transfers,9,Transfer status and processing times,0.378,0.26,0.117
Supported currencies for holding,8,Supported currencies and cards,16,Currency exchange and transfer fees,0.424,0.305,0.119
How to make a Pet Insurance claim,32,Pet Insurance Policy Management,23,Purchase insurance coverage,0.353,0.234,0.119
Why did I receive less crypto than I paid for?,3,Crypto deposit troubleshooting,5,Revolut crypto trading and setup,0.315,0.195,0.12
Crypto withdrawal limits,24,Cash withdrawal and exchange fees,3,Crypto deposit troubleshooting,0.416,0.296,0.12
How do I share feedback with Revolut?,4,Reporting vulnerable circumstances,39,Corporate actions on shares,0.507,0.386,0.121
Withdraw from your Savings account,37,Instant Access Savings Interest Rates,16,Currency exchange and transfer fees,0.236,0.115,0.121
How does sorting to investments work?,36,Trading fees and allowances,16,Currency exchange and transfer fees,0.271,0.149,0.122
Why was the transfer to my account reverted?,9,Transfer status and processing times,14,Bank transfers to Revolut,0.326,0.202,0.123
Fraud and cybercrime reporting to national authorities,1,Reporting scams and fraud,29,Tax and national ID requirements,0.539,0.417,0.123
Order a Revolut Pro card,45,Revolut Pro features and cashback,28,Ordering physical cards,0.322,0.199,0.123
My transfer to or from someone on Revolut wasn't received,10,Logging in with phone number,34,Mobile number transfer,0.309,0.186,0.123
How do I manage notifications from Revolut?,10,Logging in with phone number,12,Account security features,0.374,0.251,0.123
Revolut Ramp supported currencies and limits,5,Revolut crypto trading and setup,3,Crypto deposit troubleshooting,0.314,0.19,0.124
Get a Pockets statement,33,Download statements and documents,27,Pockets and Spare Change Donations,0.361,0.236,0.125
What is 3D Secure?,12,Account security features,21,Declined card payments and balances,0.429,0.303,0.126
Card deposit limits and fees,13,13_pay_card_money_payment,24,Cash withdrawal and exchange fees,0.256,0.128,0.127
I can't find my Vaults,27,Pockets and Spare Change Donations,37,Instant Access Savings Interest Rates,0.375,0.248,0.127
What happens if my joint account balance goes negative?,31,Joint account management,21,Declined card payments and balances,0.409,0.282,0.127
Plus plan,24,Cash withdrawal and exchange fees,43,Gifting paid plans,0.27,0.141,0.128
What is a trading halt?,0,Trading order types,39,Corporate actions on shares,0.394,0.262,0.131
Can I transfer money to Ukraine?,14,Bank transfers to Revolut,16,Currency exchange and transfer fees,0.323,0.191,0.132
I was charged extra by my bank for a Ramp payment. Why?,16,Currency exchange and transfer fees,5,Revolut crypto trading and setup,0.3,0.168,0.133
Crypto collections,5,Revolut crypto trading and setup,24,Cash withdrawal and exchange fees,0.317,0.182,0.135
How to link a card to a Pocket and manage it,27,Pockets and Spare Change Donations,44,Click to Pay card management,0.326,0.19,0.136
My card deposit didn't work,14,Bank transfers to Revolut,13,13_pay_card_money_payment,0.276,0.14,0.136
Fund my investment account,16,Currency exchange and transfer fees,24,Cash withdrawal and exchange fees,0.338,0.201,0.137
"Crypto payment fees, rates, and limits",24,Cash withdrawal and exchange fees,5,Revolut crypto trading and setup,0.369,0.232,0.137
How to close a Revolut Pro account,45,Revolut Pro features and cashback,31,Joint account management,0.378,0.24,0.138
Sales using a Revolut Pro product catalogue,7,Schedule and cancel transfers,45,Revolut Pro features and cashback,0.395,0.256,0.139
I received a card that I had marked as undelivered,41,Physical card activation and replacement,28,Ordering physical cards,0.333,0.193,0.139
Cards and contactless payments with Revolut Terminals,13,13_pay_card_money_payment,8,Supported currencies and cards,0.365,0.227,0.139
Crypto notifications,5,Revolut crypto trading and setup,10,Logging in with phone number,0.334,0.195,0.139
Documents for the source of funds verification,25,Identity verification documents,33,Download statements and documents,0.387,0.247,0.14
Who are Revolut Pet Insurance?,32,Pet Insurance Policy Management,2,Travel insurance coverage,0.446,0.306,0.14
Why is my withdrawal pending?,26,FSCS fund protection,24,Cash withdrawal and exchange fees,0.258,0.117,0.141
Next payment date for your paid plan,20,Downgrading paid plans,43,Gifting paid plans,0.451,0.31,0.141
Who provides Revolut's crypto services?,5,Revolut crypto trading and setup,26,FSCS fund protection,0.36,0.217,0.142
Manage my external linked accounts in Revolut,42,Financial analytics dashboard,14,Bank transfers to Revolut,0.264,0.122,0.142
Where can I pay with Apple Pay or Google Pay?,13,13_pay_card_money_payment,46,Adding cards to Apple Pay,0.356,0.214,0.142
Event ticket cancellation protection coverage,22,Cancel for any reason protection,23,Purchase insurance coverage,0.444,0.302,0.142
Managing a mobile plan for a lost or stolen device,10,Logging in with phone number,30,eSIM data plan setup,0.352,0.21,0.142
How to transfer funds to Revolut,14,Bank transfers to Revolut,9,Transfer status and processing times,0.373,0.231,0.142
How does travel mode work?,12,Account security features,2,Travel insurance coverage,0.321,0.177,0.144
Duplicate account,10,Logging in with phone number,31,Joint account management,0.343,0.198,0.145
APP fraud reimbursement eligibility,1,Reporting scams and fraud,45,Revolut Pro features and cashback,0.281,0.134,0.147
How do I exchange money?,16,Currency exchange and transfer fees,14,Bank transfers to Revolut,0.293,0.144,0.149
What if I don't have enough money in my bills Pocket?,21,Declined card payments and balances,27,Pockets and Spare Change Donations,0.308,0.157,0.15
What are Wealth Protection limits?,24,Cash withdrawal and exchange fees,27,Pockets and Spare Change Donations,0.259,0.109,0.15
Stock delisting,39,Corporate actions on shares,36,Trading fees and allowances,0.385,0.235,0.15
How do I add funds to my Pro account?,45,Revolut Pro features and cashback,14,Bank transfers to Revolut,0.329,0.178,0.151
Why should I accept payments with Revolut Pro?,45,Revolut Pro features and cashback,13,13_pay_card_money_payment,0.509,0.357,0.152
Joint account transfers,31,Joint account management,14,Bank transfers to Revolut,0.384,0.232,0.152
Change my date of birth,10,Logging in with phone number,33,Download statements and documents,0.327,0.172,0.154
Can I accept payments with Revolut Pro?,13,13_pay_card_money_payment,45,Revolut Pro features and cashback,0.403,0.248,0.155
What features are supported on the Web App?,12,Account security features,33,Download statements and documents,0.426,0.267,0.159
Cancel for any reason complaints,23,Purchase insurance coverage,32,Pet Insurance Policy Management,0.311,0.152,0.159
Market analysis,39,Corporate actions on shares,0,Trading order types,0.479,0.32,0.159
Documents for a closed account ,10,Logging in with phone number,33,Download statements and documents,0.367,0.207,0.16
My physical card isn't working,41,Physical card activation and replacement,46,Adding cards to Apple Pay,0.327,0.166,0.16
Tax on Savings,29,Tax and national ID requirements,33,Download statements and documents,0.378,0.219,0.16
Can I receive large bank transfers into my Revolut account?,14,Bank transfers to Revolut,9,Transfer status and processing times,0.296,0.135,0.161
Maximum active cards,38,Virtual card usage and limits,28,Ordering physical cards,0.418,0.256,0.162
What exchange rates does Revolut offer?,16,Currency exchange and transfer fees,24,Cash withdrawal and exchange fees,0.4,0.237,0.163
Discounts for loyal customers,43,Gifting paid plans,20,Downgrading paid plans,0.582,0.418,0.164
Finding your gift cards,18,RevPoints earning and redemption,43,Gifting paid plans,0.477,0.312,0.165
Why was my ATM withdrawal declined?,21,Declined card payments and balances,24,Cash withdrawal and exchange fees,0.381,0.216,0.165
Revolut X fees,24,Cash withdrawal and exchange fees,16,Currency exchange and transfer fees,0.353,0.185,0.168
What are Revolut's trading fees?,36,Trading fees and allowances,0,Trading order types,0.305,0.137,0.168
RevPoints spare change,27,Pockets and Spare Change Donations,18,RevPoints earning and redemption,0.564,0.396,0.168
Gifting a paid plan,43,Gifting paid plans,20,Downgrading paid plans,0.428,0.261,0.168
How do I make a cancel for any reason protection claim?,22,Cancel for any reason protection,23,Purchase insurance coverage,0.441,0.272,0.169
Change my name,10,Logging in with phone number,44,Click to Pay card management,0.278,0.109,0.169
Missing reward from an influencer or brand signup,6,Referral purchase requirements,43,Gifting paid plans,0.289,0.119,0.17
Activate a physical card,41,Physical card activation and replacement,28,Ordering physical cards,0.346,0.176,0.17
How to redeem RevPoints for gift cards,18,RevPoints earning and redemption,43,Gifting paid plans,0.481,0.312,0.17
How to complete all steps for Referrals reward,6,Referral purchase requirements,28,Ordering physical cards,0.315,0.145,0.171
Why aren’t my contactless payments working?,41,Physical card activation and replacement,28,Ordering physical cards,0.313,0.141,0.172
Will the account transition have any tax implications?,29,Tax and national ID requirements,19,Account move to Revolut Bank,0.463,0.291,0.172
Who provides Ultra trip and event cancellation protection?,22,Cancel for any reason protection,23,Purchase insurance coverage,0.418,0.245,0.173
What card brands and types can I get?,8,Supported currencies and cards,28,Ordering physical cards,0.425,0.252,0.173
Received an unexpected link?,1,Reporting scams and fraud,10,Logging in with phone number,0.299,0.126,0.173
Creating a virtual card,38,Virtual card usage and limits,28,Ordering physical cards,0.4,0.228,0.173
How do regulatory limits affect my usage?,13,13_pay_card_money_payment,25,Identity verification documents,0.329,0.156,0.174
American depositary receipts (ADRs) and pass-through fees,36,Trading fees and allowances,39,Corporate actions on shares,0.361,0.187,0.174
Understanding our onboarding question about affiliations,29,Tax and national ID requirements,31,Joint account management,0.378,0.202,0.175
What happens to my partner benefits if I change my plan?,20,Downgrading paid plans,11,Accessing plan partner subscriptions,0.521,0.346,0.175
What is Open Banking and how does it work?,12,Account security features,30,eSIM data plan setup,0.428,0.251,0.177
Benefits and risks of trading crypto ETNs,17,Exchange Traded Products,5,Revolut crypto trading and setup,0.442,0.263,0.179
Can I cover intermediary bank fees upfront?,16,Currency exchange and transfer fees,24,Cash withdrawal and exchange fees,0.421,0.241,0.18
Am I eligible for Click to Pay?,44,Click to Pay card management,8,Supported currencies and cards,0.591,0.409,0.181
Paying a bill with new bank details? ,1,Reporting scams and fraud,14,Bank transfers to Revolut,0.303,0.117,0.187
Do I own my stocks?,39,Corporate actions on shares,35,Stocks and Shares ISA,0.459,0.271,0.188
Bonds fees,36,Trading fees and allowances,16,Currency exchange and transfer fees,0.351,0.162,0.189
Pay for your missed plan payment,20,Downgrading paid plans,43,Gifting paid plans,0.425,0.235,0.19
Can I transfer my account from another broker?,9,Transfer status and processing times,0,Trading order types,0.343,0.152,0.191
Trouble with mobile verification code,10,Logging in with phone number,46,Adding cards to Apple Pay,0.304,0.112,0.192
How are the funds in my Savings accounts protected?,26,FSCS fund protection,37,Instant Access Savings Interest Rates,0.436,0.244,0.193
Will the transition affect my Pro products and services?,19,Account move to Revolut Bank,45,Revolut Pro features and cashback,0.442,0.249,0.193
Taxes on crypto,5,Revolut crypto trading and setup,29,Tax and national ID requirements,0.398,0.205,0.193
Requesting money with a payment link,13,13_pay_card_money_payment,14,Bank transfers to Revolut,0.325,0.129,0.196
How does the gambling block work?,1,Reporting scams and fraud,4,Reporting vulnerable circumstances,0.351,0.155,0.196
Submitting documents for a purchase insurance claim,23,Purchase insurance coverage,22,Cancel for any reason protection,0.454,0.258,0.196
Security and data privacy,29,Tax and national ID requirements,30,eSIM data plan setup,0.392,0.196,0.197
Paying for my mobile plan,20,Downgrading paid plans,34,Mobile number transfer,0.395,0.199,0.197
How do I get an update on my existing claim?,23,Purchase insurance coverage,22,Cancel for any reason protection,0.476,0.279,0.197
Dividends,35,Stocks and Shares ISA,29,Tax and national ID requirements,0.436,0.238,0.198
What is Dynamic Currency Conversion (DCC)?,16,Currency exchange and transfer fees,24,Cash withdrawal and exchange fees,0.501,0.301,0.2
Your paid plan subscription end date,20,Downgrading paid plans,43,Gifting paid plans,0.519,0.318,0.201
Standard plan,24,Cash withdrawal and exchange fees,11,Accessing plan partner subscriptions,0.36,0.158,0.202
Finding the card PIN,46,Adding cards to Apple Pay,41,Physical card activation and replacement,0.407,0.205,0.202
My beneficiary has not received my card transfer,9,Transfer status and processing times,14,Bank transfers to Revolut,0.413,0.212,0.202
Am I eligible for Google Pay?,8,Supported currencies and cards,13,13_pay_card_money_payment,0.357,0.154,0.203
Linking an existing card,44,Click to Pay card management,41,Physical card activation and replacement,0.353,0.149,0.204
Will I get a full refund for my trip or event cancellation?,22,Cancel for any reason protection,23,Purchase insurance coverage,0.468,0.263,0.205
When will Revolut credit be available in my country?,8,Supported currencies and cards,20,Downgrading paid plans,0.336,0.131,0.205
What is the excess for travel insurance claims?,2,Travel insurance coverage,23,Purchase insurance coverage,0.473,0.268,0.205
Download a transfer confirmation,9,Transfer status and processing times,33,Download statements and documents,0.4,0.195,0.205
Locate a bank transfer sent to my Revolut account,9,Transfer status and processing times,14,Bank transfers to Revolut,0.438,0.231,0.207
Why did I receive less money?,16,Currency exchange and transfer fees,14,Bank transfers to Revolut,0.439,0.231,0.208
What are Revolut Terminals?,13,13_pay_card_money_payment,46,Adding cards to Apple Pay,0.348,0.141,0.208
What will happen to my account when it’s moved?,26,FSCS fund protection,19,Account move to Revolut Bank,0.524,0.315,0.209
Download an account statement for a specific currency,33,Download statements and documents,16,Currency exchange and transfer fees,0.386,0.177,0.209
What should I do if my card is expiring soon?,41,Physical card activation and replacement,28,Ordering physical cards,0.409,0.201,0.209
Order a Joint account card,28,Ordering physical cards,31,Joint account management,0.397,0.188,0.209
Crypto withdrawal fees,24,Cash withdrawal and exchange fees,3,Crypto deposit troubleshooting,0.475,0.265,0.21
Why was my card payment declined if I have enough funds?,21,Declined card payments and balances,44,Click to Pay card management,0.385,0.174,0.211
Accessing your transaction history from your Revolut account,33,Download statements and documents,10,Logging in with phone number,0.364,0.152,0.212
I sent a transfer to the wrong Revolut customer,7,Schedule and cancel transfers,4,Reporting vulnerable circumstances,0.411,0.196,0.215
"Cover for damaged, lost, or delayed baggage",2,Travel insurance coverage,23,Purchase insurance coverage,0.458,0.241,0.217
Limits for transfers to other Revolut customers,14,Bank transfers to Revolut,16,Currency exchange and transfer fees,0.442,0.226,0.217
"Commodities prices, rates, and fees",24,Cash withdrawal and exchange fees,0,Trading order types,0.36,0.143,0.217
Personal data required to create a Revolut account,25,Identity verification documents,30,eSIM data plan setup,0.369,0.15,0.219
Does the account transfer impact my plan insurance cover?,2,Travel insurance coverage,32,Pet Insurance Policy Management,0.395,0.176,0.219
What happens if the Revolut account holder passes away?,25,Identity verification documents,4,Reporting vulnerable circumstances,0.352,0.132,0.22
I can't add my card to Apple Pay,46,Adding cards to Apple Pay,13,13_pay_card_money_payment,0.334,0.113,0.221
Cards and currencies supported for adding money,8,Supported currencies and cards,13,13_pay_card_money_payment,0.498,0.276,0.222
Understanding the account review process,29,Tax and national ID requirements,25,Identity verification documents,0.501,0.279,0.222
How to calculate interest on Savings accounts,37,Instant Access Savings Interest Rates,26,FSCS fund protection,0.477,0.255,0.223
How to contact Revolut Support,4,Reporting vulnerable circumstances,11,Accessing plan partner subscriptions,0.425,0.202,0.223
Will Revolut Bank have physical branches?,19,Account move to Revolut Bank,26,FSCS fund protection,0.448,0.225,0.223
An urgent call out of the blue?,1,Reporting scams and fraud,10,Logging in with phone number,0.385,0.161,0.224
Trips covered by travel insurance,2,Travel insurance coverage,22,Cancel for any reason protection,0.455,0.23,0.225
Trusted recipients,12,Account security features,7,Schedule and cancel transfers,0.584,0.359,0.225
