topic_id,llm_label,keywords,size,representative_titles
22,Cancel for any reason protection,"trip, event, cancellation, reason, trip event, claim, ultra, cancel, cancel reason, cancellation protection",15,How do I make a cancel for any reason protection claim? | Getting started with cancel for any reason protection | What is a trip?
23,Purchase insurance coverage,"qover, purchase, insurance, claim, purchase insurance, items, protection, search, insurance select, coverage",13,Refund protection coverage | What's the excess for purchase insurance claims? | Purchase protection coverage
24,Cash withdrawal and exchange fees,"fee, fees, limits, withdrawal, exchange, atm, tier, limit, pricing, charged",22,Fees for cash withdrawals | Currency exchange fees and limits | Cash withdrawal limits and fees
25,Identity verification documents,"document, documents, identity, information, proof, accepted, verification, provide, need, address",17,I'm unable to verify my identity | Verify my identity | How do I provide proof of address?
26,FSCS fund protection,"fscs, protected, bank, savings, compensation, money, scheme, scheme fscs, compensation scheme, funds",12,"How are the funds in my Savings accounts protected? | Are funds in my  independent teen account FSCS protected? | Now that Revolut is a bank, how is my money protected?"
27,Pockets and Spare Change Donations,"spare, spare change, pocket, group, change, pockets, donations, recurring, choose, rounded",17,How do I manage a Group Pocket? | Adding money to Pockets | Spare change and recurring Donations
28,Ordering physical cards,"card, delivery, cards, order, physical, card order, physical card, design, standard, customisation",14,What are the fees for ordering a card? | Order a Joint account card | Order a physical card
29,Tax and national ID requirements,"national, tax, identification, investment, information, provide, country, id, number, investment account",15,Investor related tax information | Update my tax information | Why does Revolut need my national identifier?
30,eSIM data plan setup,"esim, data, plan, mobile, esim data, plans, sim, device, network, select",12,Installing and activating my eSIM | Revolut data plans | Managing my eSIM data plan
31,Joint account management,"joint, joint account, account, accounts, close, closed, hidden, savings, open, personal",15,Joint account card payments | Setting up a Joint account | I want to close my Joint account
32,Pet Insurance Policy Management,"pet, pet insurance, policy, insurance, insurance policy, american, renewal, cover, video, greek",9,How do I cancel my Pet Insurance policy? | Pet Insurance payments and renewals | How can I view or manage my Revolut Pet Insurance policy?
33,Download statements and documents,"statement, documents, statements, download, documents statements, confirmation, document, consolidated, generated, select documents",13,"Trading account information, statements and reports | Download a cryptocurrency statement | Download transaction or top-up statement"
34,Mobile number transfer,"number, transfer, number transfer, provider, transfer number, mobile plan, mobile, plan, transfer revolut, temporary",8,Cancelling or rescheduling a number transfer to Revolut | Understanding mobile plan numbers | Transfer your Revolut number to another provider
35,Stocks and Shares ISA,"isa, stocks shares, shares isa, stocks, shares, bonds, bond, maturity, dividends, tax",12,Investing with the Stocks and Shares ISA | Stocks and Shares ISA rules | Stocks and Shares Individual Savings Account (ISA)
36,Trading fees and allowances,"trading pro, trading, fees, allowance, trades, fee, commission, pro, stocks, order",9,What is Trading Pro? | What are Revolut's trading fees? | What are the Stocks and Shares ISA fees?
37,Instant Access Savings Interest Rates,"savings, rate, access savings, instant access, instant, savings account, prize, access, challenge, aer",9,Earning interest with Savings | Instant Access Savings promotion | Rate decrease on my Instant Access Savings
38,Virtual card usage and limits,"virtual, virtual card, card, cards, singleuse, virtual cards, singleuse virtual, card details, pay, card number",8,My virtual card is not working | What is a virtual card? | How do I use a Revolut virtual card?
39,Corporate actions on shares,"shares, stock, company, share, fractional, corporate, ratio, companys, corporate actions, actions",8,Merger or acquisition of a company whose shares I own | Stock basics | Stock split
40,Airport lounge and fast track passes,"pass, lounge, airport, passes, fast, fast track, airport lounge, track, lounges, lounge passes",7,How do I use my airport fast track pass? | How do I purchase an airport lounge pass? | How do I use my airport lounge pass?
41,Physical card activation and replacement,"card, cards, contactless, tap, replace, topup, card tap, topups, reactivate, new card",10,Activate a physical card | Reactivate a card | My physical card isn't working
42,Financial analytics dashboard,"income, analytics, spending, air, custom, widget, asset, insights, budgeting, total wealth",10,How can I see my total wealth analytics? | What is the analytics dashboard? | How can I see my spending and income analytics?
43,Gifting paid plans,"gift, plan, paid plan, paid, friend, gifts, premium plan, premium, accept, annual",8,Sending paid plan gifts | Can I accept multiple paid plan gifts? | Receiving paid plan gifts
44,Click to Pay card management,"click pay, click, linked, wallets, pay, card, email mobile, cards, wallet, mobile number",6,What is Click to Pay? | How can I remove my card from Click to Pay? | How do I add cards to Click to Pay?
45,Revolut Pro features and cashback,"pro, pro account, business, cashback, revolut pro, url, tools, shopify, account, revolut",13,How does Revolut Pro cashback work and how can I boost it? | What features are available with Revolut Pro? | What is Revolut Pro and is it free?
46,Adding cards to Apple Pay,"pin, apple, card, pay, apple pay, verification, app, otp, log revolut, revolut app",7,I can't add my card to Apple Pay | Setting up Google Pay | Setting up Apple Pay
