title,topic_id
Is a physical card required for your friend's purchases?,7
How can my friend order a physical card?,-1
How to complete 'Add Money' step,7
"My friend added money, but I still didn’t get the reward",7
My friend hasn’t received the card. Will I get my reward?,7
"My friend made 3 purchases, but I didn’t get the reward",7
"My friend ordered a card, but I didn’t get the reward. Why?",-1
What are the requirements for 3 purchases?,7
What are the requirements to get a Referrals reward?,7
Why did I receive a smaller reward for a Referral than you advertised in the app?,7
What is Airline Miles?,12
Linking your airline loyalty account,12
Redeeming RevPoints with Airline Miles,12
Difficulty using Airline Miles,12
Can I cancel an airport lounge pass? ,-1
How do I purchase an airport lounge pass?,-1
How do I use my airport lounge pass?,-1
I'm having difficulty with my airport lounge pass,-1
How do I donate to Ukrainian refugees?,-1
Making a donation through Revolut,-1
Spare change and recurring Donations,-1
Auto-renewing an eSIM data plan,23
Can I label my eSIM for my data plan?,23
Difficulties with eSIM,23
Revolut data plans,23
Installing and activating my eSIM,23
Managing my eSIM data plan,23
Supported eSIM devices,23
Mobile plan access and payment,15
Cancelling or rescheduling a number transfer to Revolut,-1
Cancelling your old phone plan,-1
Managing a mobile plan for a lost or stolen device,-1
Managing a failed number transfer,-1
Managing a number transfer to Revolut,-1
Managing mobile plans and add-ons,23
Understanding mobile plan numbers,23
Paying for my mobile plan,15
Mobile plan voice support,18
Setting up voicemail,1
Bring your number to Revolut mobile,-1
Revolut mobile plans,23
Service disruptions during transfer to Revolut,-1
Mobile plan allowance and consumption,15
Transfer your Revolut number to another provider,-1
Reporting vulnerable circumstances to Revolut,18
How to redeem RevPoints for gift cards,12
Finding your gift cards,-1
Shops,12
Can I get a VAT invoice for my Stays booking?,-1
How are properties sorted?,-1
Manage a Stays booking,12
Make a Stays booking,12
What does the Experiences feature offer?,12
Purchase RevPoints in app,12
Redeem RevPoints,12
How to earn RevPoints,12
RevPoints spare change,-1
What is the RevPoints loyalty program?,12
Personalise RevPoints,12
APP fraud reimbursement eligibility,-1
Authorised Push Payment fraud reimbursement exclusions,-1
Authorised Push Payment fraud reimbursement requirements,-1
Authorised Push Payment fraud reimbursement,-1
How long will the Authorised Push Payment fraud reimbursement process take?,-1
Locked bootloader requirement for Android devices,-1
Contacting your device manufacturer,-1
Ensuring security by using the official Revolut app,27
Operating system and security updates,-1
Security risks of root access,27
Unofficial (custom) firmware,-1
Why is the Revolut app no longer supported on my device?,27
Review my information with CIFAS Marker,5
Understanding the account review process,3
Fraud and cybercrime reporting to national authorities,5
Hidden accounts and transactions,-1
Someone wants to give you a lot of money?,5
Strange small charges on your card?,5
Feeling pressured or threatened?,5
Urgent text from a kid or friend?,5
Looking for a high return?,5
Paying a bill with new bank details? ,5
Have you been offered money to move funds?,5
Received an unexpected link?,5
Buying something online?,5
Met someone new online?,5
My phone suddenly lost signal,5
An urgent call out of the blue?,5
How can I keep my account safe from fraud?,5
"How to report a suspicious call, email, link, or text",5
How does Revolut keep my money safe?,19
How does Revolut protect me against fraud?,27
Accessing your transaction history from your Revolut account,-1
What are linked wallets?,-1
What are Wealth Protection limits?,6
Getting started with Street Mode,27
Limits,6
Trouble with my selfie verification for Wealth Protection,3
Getting started with Wealth Protection,-1
What are Revolut's safety features?,27
What will happen to my funds if Revolut goes bankrupt?,19
How do I upload a document?,3
Difficulty with selfie authentication,3
What is my tax identification number?,20
Confirm your personal details again,3
Why is my incoming transfer pending?,11
Can I cover intermediary bank fees upfront?,-1
"Add, edit, or delete a beneficiary",17
Trusted recipients,17
Transfer I sent arrived in a different currency ,24
Why was my transfer sent via an intermediary bank?,-1
I received a transfer from an unknown sender,17
Timeframes for transfers,11
Bank transfer fees,-1
Can I receive large bank transfers into my Revolut account?,-1
Can I receive my salary into my Revolut account?,21
Locate a bank transfer sent to my Revolut account,11
Why did I receive less money?,-1
Why was the transfer to my account reverted?,11
Supported currencies for holding,8
Switch your account to Revolut,4
What currency account details are available for me?,-1
What's Revolut's official name and address?,-1
What account details should I use for incoming transfers?,24
How to transfer funds to Revolut,-1
Unsupported inbound bank transfers,8
Difficulty adding money with an easy bank transfer,21
Limits for transfers to other Revolut customers,-1
Block or report another Revolut customer,5
Group Bills,-1
I sent a transfer to the wrong Revolut customer,17
My transfer to another Revolut customer is pending,17
Send or request money from other Revolut customers,21
Revtags,-1
My transfer to or from someone on Revolut wasn't received,17
I'm unable to send money to another Revolut customer,-1
Transferring funds to an external card,21
I want to cancel my transfer to a card,17
My beneficiary has not received my card transfer,11
Which countries can I send a card transfer to?,8
Why has my card transfer failed or been declined?,1
Why is my card transfer still pending?,11
I want to cancel a bank transfer,17
Locate a bank transfer sent from Revolut,11
Why is my transfer to a bank account still pending?,11
Why was my outbound bank transfer reverted?,11
I can't send a transfer or create a recipient,-1
Can I make a local transfer in a different currency?,-1
Download a transfer confirmation,-1
Sending money from Revolut to a bank account,21
Problem with a Direct Debit,1
Manage Direct Debits,17
Setting up a Direct Debit,-1
Sending and requesting money with a payment link,1
Why did my recipient receive less money?,-1
I was asked for additional information about my transaction,3
Unsupported transfers sent from Revolut,8
More help with sending money via a payment link,17
Revolut.me link,-1
Insufficient funds for scheduled transfer,-1
Setting up scheduled payments to another Revolut customer,-1
Can I transfer money to or from Russia or Belarus?,8
Can I transfer money to Ukraine?,8
Supported currencies for outgoing transfers,8
Benefits and risks of trading crypto ETNs,14
Get started with crypto ETNs,14
Get started with non-crypto ETPs,14
What does it mean to be a high-net-worth investor?,14
What does it mean to be a restricted investor?,14
Leveraged and inverse ETPs,14
What is a crypto ETN?,14
Get started with ETCs,14
Get started with ETNs,14
What is an Exchange-Traded Product (ETP)?,14
Exceeding my ISA allowance,-1
Investing with the Stocks and Shares ISA,20
Stocks and Shares Individual Savings Account (ISA),-1
Stocks and Shares ISA rules,-1
Stocks and Shares ISA transfers,-1
What are the Stocks and Shares ISA fees?,6
What happens to my Stocks and Shares ISA if I move abroad?,-1
Trading Terminal,16
Crypto collections,16
Accessing Revolut X,3
Revolut X top-ups and withdrawals,16
Get started with Revolut X,-1
What types of orders can I create on Revolut X?,2
About crypto unified balance,16
Revolut X fees,6
Failed orders in Revolut X,2
Why can't I trade in Revolut X?,-1
Why is part of my Revolut X portfolio balance unavailable?,2
Issues with Take Profit or Stop Loss orders,2
Take Profit and Stop Loss orders,2
Setting up a virtual crypto card,1
"Crypto payment fees, rates, and limits",6
Crypto payments and how they work,-1
View your crypto card payments,-1
How does crypto staking work?,16
Is there a fee associated with crypto staking?,6
Stake and unstake crypto,16
Calculation of crypto tiered pricing,6
Tier progression and account changes,6
Trading with crypto tiered pricing,6
How to make sure crypto withdrawals are processed smoothly,9
How to ensure my crypto is transferred successfully?,9
Crypto notifications,-1
Crypto recurring buy,2
Crypto rates and spread,-1
Fees for trading crypto,6
Crypto limit order,2
What is a crypto market order?,2
Crypto stop order,2
Crypto Learn,16
How does converting cryptocurrency to fiat currency work?,16
Crypto delisting,-1
Crypto account onboarding requirements,16
Other crypto token information,9
Revolut crypto features and products,16
Can I set target prices for exchanging cryptocurrency?,2
Receive (deposit) crypto from an external address,9
Return or manage crypto deposits,9
Failed crypto deposits,9
Addresses supported for withdrawing and reverting crypto deposits,9
Can't see my deposit in-app,9
Pending crypto deposits,9
"Supported crypto deposit currencies, networks, and exchanges",9
Do I have an individual cryptocurrency wallet?,-1
Add a new wallet to withdraw crypto,-1
Crypto withdrawal fees,6
Crypto withdrawal limits,6
Cryptocurrencies and networks available for withdrawals,9
Send (withdraw) crypto to an external address,9
Pending crypto withdrawals,9
Failed crypto withdrawals,9
Cryptocurrency networks,9
Buy and sell crypto,16
Crypto basics,16
Is my crypto safe with Revolut?,-1
Who provides Revolut's crypto services?,-1
Taxes on crypto,16
Koinly crypto tax reports,16
Why do I need to name the wallet owner for withdrawals?,20
Crypto private keys and exposure on the blockchain,-1
Crypto spare change,-1
What exchange rates does Revolut offer?,-1
Currency exchange fees and limits,6
How do I exchange money?,24
Currency exchange orders,2
"I just made an exchange, but I can't find my money",24
Why might my currency order fail or not execute?,2
Open and manage additional currency accounts,24
Investor related tax information,20
How does the commission-free allowance work?,6
Trading orders routing,2
What are trading regulatory fees and taxes?,6
Buying or selling commodities,-1
"Commodities prices, rates, and fees",6
Commodities supported features,-1
Which precious metals are supported?,-1
Start with Revolut Ramp,16
How can I get a full statement of my Ramp transaction?,-1
Pay with Revolut Ramp,-1
What are the fees for Revolut Ramp?,-1
I sent crypto to an incorrect wallet address. What can I do?,9
I was charged extra by my bank for a Ramp payment. Why?,-1
My Ramp payment failed. What should I do?,1
My Ramp transaction is completed but I didn't receive the funds,-1
My Ramp payment was completed but I didn’t receive the crypto. What should I do?,9
Revolut Ramp supported currencies and limits,-1
Why did I receive less crypto than I paid for?,9
Why was I charged more than I was shown?,-1
Advantages of investing in bonds,-1
Get started with Bonds,-1
Bonds fees,6
Bonds terms and definitions,-1
Bond credit ratings,-1
Buy bonds in the Revolut app,2
Buying a corporate bond vs buying stock in the same company,2
Bond name interpretation in the Revolut app,-1
How does Revolut process corporate actions?,-1
Dividends,2
Merger or acquisition of a company whose shares I own,2
Stock delisting,2
Stock split,2
Trading customer support,18
Which Revolut Trading entity is providing me services?,-1
Financial ratios for company analysis,-1
Market analysis,2
OTC stocks,2
Stock basics,2
Stock markets,2
What is a fractional share?,2
What is a trading halt?,2
How do I update my trading account details?,3
Why are you asking me for documents to open or continue using Revolut trading?,3
Understanding our onboarding question about affiliations,20
Close my investment account,4
Reasons an investment account may be closed,4
How is the portfolio value calculated?,2
Overview of Revolut Trading Ltd's omnibus account ,19
Trading watchlist and price alerts,-1
"Trading account information, statements and reports",25
Trade confirmation statements,-1
Fund my investment account,24
Using your credit card or a personal loan to trade stocks,-1
How to withdraw funds from my investment account,-1
Open an investment account,20
Can I transfer my account from another broker?,-1
Why does Revolut need my national identifier?,20
What information do I need to provide to onboard to trading?,20
What is an execution-only service?,2
What is a Special Purpose Acquisition Company (SPAC)?,14
American depositary receipts (ADRs) and pass-through fees,6
Products available to trade,14
Can I have a trading account if I’m a US Person?,20
Who is Revolut Trading Ltd authorised by?,19
What are non-tradable securities?,2
Do I own my stocks?,2
How are my investments with Revolut protected?,19
How are the funds in my investment account protected?,19
What does capital at risk mean?,14
Buy order block,2
Pending trading orders,2
Close a stock position,2
How to place a stock order,2
Can I use leverage to trade?,14
What is a GTC Order and how does it work?,2
Trading limit orders,2
What is a stop order?,2
Trading order types,2
Top Movers,2
Security prices,2
What are Revolut's trading fees?,6
Trading value limits,2
Why is my stock on 'sell only'?,2
Orders submitted during extended hours trading,2
Extended hours trading risks,2
How extended hours trading works,2
What is a trading day?,2
Trading hours,2
What are the fees for Trading Pro?,6
What is Trading Pro?,6
