title,topic_1,label_1,topic_2,label_2,p1,p2,margin
Rate decrease on my Instant Access Savings,0,Managing account balances and transfers,2,Accessing plan benefits,0.507,0.402,0.105
Get started with crypto ETNs,2,Accessing plan benefits,0,Managing account balances and transfers,0.431,0.319,0.112
Metal plan,2,Accessing plan benefits,0,Managing account balances and transfers,0.444,0.33,0.114
What is Trading Pro?,0,Managing account balances and transfers,2,Accessing plan benefits,0.515,0.399,0.116
Instant Access Savings promotion,0,Managing account balances and transfers,2,Accessing plan benefits,0.55,0.43,0.119
Downgrading your paid plan,0,Managing account balances and transfers,2,Accessing plan benefits,0.538,0.409,0.129
Revtags,0,Managing account balances and transfers,2,Accessing plan benefits,0.543,0.398,0.145
How do I purchase an Airport Fast Track pass?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.53,0.378,0.152
Work at Revolut,2,Accessing plan benefits,0,Managing account balances and transfers,0.576,0.424,0.152
Do I have to pay for my trip using my Revolut account?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.564,0.404,0.16
Receiving paid plan gifts,0,Managing account balances and transfers,2,Accessing plan benefits,0.544,0.383,0.162
Crypto Learn,2,Accessing plan benefits,0,Managing account balances and transfers,0.581,0.419,0.162
What are the fees for ordering a card?,0,Managing account balances and transfers,2,Accessing plan benefits,0.558,0.391,0.167
How to contact Revolut Support,0,Managing account balances and transfers,2,Accessing plan benefits,0.568,0.399,0.168
Free 24/7 FirstVet Video Consultations,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.585,0.415,0.17
Supported eSIM devices,2,Accessing plan benefits,0,Managing account balances and transfers,0.545,0.373,0.172
Trading customer support,0,Managing account balances and transfers,2,Accessing plan benefits,0.551,0.375,0.176
Why is Revolut becoming a bank in the UK?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.589,0.411,0.178
Why did I receive a smaller reward for a Referral than you advertised in the app?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.455,0.275,0.18
Upgrade my plan,0,Managing account balances and transfers,2,Accessing plan benefits,0.576,0.395,0.181
I lost access to my passkey,0,Managing account balances and transfers,2,Accessing plan benefits,0.55,0.362,0.188
What if Revolut - Kids & Teens isn't available?,0,Managing account balances and transfers,2,Accessing plan benefits,0.58,0.371,0.209
Authorised Push Payment fraud reimbursement requirements,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.607,0.393,0.214
Standard plan,2,Accessing plan benefits,0,Managing account balances and transfers,0.587,0.365,0.222
I lost access to a device my passkey is stored on,2,Accessing plan benefits,0,Managing account balances and transfers,0.592,0.37,0.222
Get started with ETNs,0,Managing account balances and transfers,2,Accessing plan benefits,0.611,0.389,0.223
Products available to trade,0,Managing account balances and transfers,2,Accessing plan benefits,0.593,0.35,0.243
How does the commission-free allowance work?,0,Managing account balances and transfers,2,Accessing plan benefits,0.608,0.364,0.243
What happens to my partner benefits if I change my plan?,2,Accessing plan benefits,0,Managing account balances and transfers,0.624,0.376,0.247
What is a Special Purpose Acquisition Company (SPAC)?,0,Managing account balances and transfers,2,Accessing plan benefits,0.626,0.374,0.252
How do I complain about my pet insurance?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.626,0.374,0.253
APP fraud reimbursement eligibility,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.627,0.373,0.253
Paid plan downgrade fees ,0,Managing account balances and transfers,2,Accessing plan benefits,0.627,0.373,0.254
Bond credit ratings,0,Managing account balances and transfers,2,Accessing plan benefits,0.595,0.337,0.258
When does my ATM withdrawal limit reset?,0,Managing account balances and transfers,2,Accessing plan benefits,0.63,0.37,0.261
Cryptocurrency networks,0,Managing account balances and transfers,2,Accessing plan benefits,0.638,0.362,0.276
Does moving home affect Ultra trip and event coverage?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.598,0.317,0.281
How can I redeem my Pro Perks offers?,0,Managing account balances and transfers,2,Accessing plan benefits,0.642,0.358,0.285
Missing reward from an influencer or brand signup,0,Managing account balances and transfers,2,Accessing plan benefits,0.626,0.331,0.295
Promotional and free trials,0,Managing account balances and transfers,2,Accessing plan benefits,0.615,0.32,0.295
How do I purchase an airport lounge pass?,2,Accessing plan benefits,0,Managing account balances and transfers,0.573,0.276,0.297
How to share your birthday on Revolut,0,Managing account balances and transfers,2,Accessing plan benefits,0.654,0.346,0.309
Kids & Teens Instant Access Savings,0,Managing account balances and transfers,2,Accessing plan benefits,0.635,0.325,0.31
How can I see my travel analytics?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.56,0.249,0.312
Review my information with CIFAS Marker,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.656,0.344,0.312
How do I use my airport fast track pass?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.564,0.251,0.313
Crypto private keys and exposure on the blockchain,0,Managing account balances and transfers,2,Accessing plan benefits,0.595,0.277,0.318
How does Revolut Pro cashback work and how can I boost it?,0,Managing account balances and transfers,2,Accessing plan benefits,0.642,0.317,0.324
What happens to my Stocks and Shares ISA if I move abroad?,0,Managing account balances and transfers,2,Accessing plan benefits,0.623,0.297,0.326
Cryptocurrencies and networks available for withdrawals,0,Managing account balances and transfers,2,Accessing plan benefits,0.666,0.334,0.331
Media enquiries,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.666,0.334,0.332
Change my Revtag,0,Managing account balances and transfers,2,Accessing plan benefits,0.667,0.333,0.335
Can I cancel an airport lounge pass? ,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.638,0.293,0.345
Trading Terminal,0,Managing account balances and transfers,2,Accessing plan benefits,0.628,0.283,0.346
Pay for your missed plan payment,0,Managing account balances and transfers,2,Accessing plan benefits,0.617,0.272,0.346
How to cancel a dispute,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.676,0.324,0.352
Getting started with Wealth Protection,0,Managing account balances and transfers,2,Accessing plan benefits,0.618,0.264,0.353
How long will the Authorised Push Payment fraud reimbursement process take?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.679,0.321,0.357
What are passkeys?,0,Managing account balances and transfers,2,Accessing plan benefits,0.642,0.28,0.361
Met someone new online?,0,Managing account balances and transfers,2,Accessing plan benefits,0.6,0.234,0.367
How does crypto staking work?,0,Managing account balances and transfers,2,Accessing plan benefits,0.623,0.255,0.368
Tax on Savings,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.685,0.315,0.37
Cash withdrawal limits and fees,0,Managing account balances and transfers,2,Accessing plan benefits,0.655,0.283,0.372
Sending paid plan gifts,0,Managing account balances and transfers,2,Accessing plan benefits,0.66,0.282,0.378
Get started with non-crypto ETPs,2,Accessing plan benefits,0,Managing account balances and transfers,0.689,0.311,0.379
What is the location-based security feature?,0,Managing account balances and transfers,2,Accessing plan benefits,0.632,0.252,0.38
Am I covered for trips or events that I didn't purchase with my Revolut account with Ultra trip and event cancellation protection?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.618,0.239,0.38
How do I add a custom asset to my total wealth view?,0,Managing account balances and transfers,2,Accessing plan benefits,0.649,0.265,0.384
My card has been used fraudulently,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.693,0.307,0.386
Difference between limited and full access to the web app,0,Managing account balances and transfers,2,Accessing plan benefits,0.699,0.301,0.399
Using your credit card or a personal loan to trade stocks,0,Managing account balances and transfers,2,Accessing plan benefits,0.701,0.299,0.402
Gifting a paid plan,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.602,0.199,0.403
Am I eligible for Click to Pay?,0,Managing account balances and transfers,2,Accessing plan benefits,0.702,0.298,0.403
What features are supported on the Web App?,0,Managing account balances and transfers,2,Accessing plan benefits,0.678,0.275,0.403
When will Revolut credit be available in my country?,0,Managing account balances and transfers,2,Accessing plan benefits,0.701,0.299,0.403
Turo rewards,2,Accessing plan benefits,0,Managing account balances and transfers,0.685,0.279,0.406
Hidden accounts and transactions,0,Managing account balances and transfers,2,Accessing plan benefits,0.705,0.295,0.41
How do I upload a document?,0,Managing account balances and transfers,2,Accessing plan benefits,0.707,0.293,0.415
How do I access a partner benefit?,2,Accessing plan benefits,0,Managing account balances and transfers,0.695,0.281,0.415
What are Revolut's trading fees?,0,Managing account balances and transfers,2,Accessing plan benefits,0.701,0.279,0.423
Why do I need to name the wallet owner for withdrawals?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.712,0.288,0.424
Why is my withdrawal pending?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.626,0.2,0.426
How can I share sensitive information with Revolut?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.699,0.271,0.427
Getting started with AIR,0,Managing account balances and transfers,2,Accessing plan benefits,0.641,0.208,0.433
What is Open Banking and how does it work?,0,Managing account balances and transfers,2,Accessing plan benefits,0.691,0.258,0.433
Revolut - Kids & Teens Referrals,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.661,0.226,0.435
Reporting vulnerable circumstances to Revolut,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.704,0.269,0.435
Does moving home impact my travel insurance?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.682,0.248,0.435
Failed crypto deposits,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.719,0.281,0.438
Difficulty with selfie authentication,0,Managing account balances and transfers,2,Accessing plan benefits,0.682,0.243,0.44
Block or report another Revolut customer,0,Managing account balances and transfers,2,Accessing plan benefits,0.659,0.216,0.443
Your paid plan subscription end date,2,Accessing plan benefits,0,Managing account balances and transfers,0.722,0.278,0.445
Difficulties with eSIM,0,Managing account balances and transfers,2,Accessing plan benefits,0.654,0.2,0.454
Setting up scheduled payments to another Revolut customer,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.694,0.239,0.455
Get started with Bonds,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.712,0.258,0.455
Accessing the Retail Web App,0,Managing account balances and transfers,2,Accessing plan benefits,0.708,0.252,0.455
Security and data privacy,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.728,0.272,0.455
Crypto notifications,0,Managing account balances and transfers,2,Accessing plan benefits,0.728,0.272,0.456
How are trips defined for travel analytics?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.729,0.271,0.458
Why are you asking me for documents to open or continue using Revolut trading?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.73,0.27,0.459
Benefits and risks of trading crypto ETNs,0,Managing account balances and transfers,2,Accessing plan benefits,0.689,0.226,0.462
What is Airline Miles?,0,Managing account balances and transfers,2,Accessing plan benefits,0.731,0.269,0.462
How does Revolut process corporate actions?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.732,0.268,0.464
What are the Stocks and Shares ISA fees?,0,Managing account balances and transfers,2,Accessing plan benefits,0.7,0.234,0.466
Getting started with Street Mode,0,Managing account balances and transfers,2,Accessing plan benefits,0.717,0.25,0.467
Change my date of birth,0,Managing account balances and transfers,2,Accessing plan benefits,0.692,0.221,0.471
How long will Revolut hold my data?,0,Managing account balances and transfers,2,Accessing plan benefits,0.662,0.185,0.477
Who provides Revolut's crypto services?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.74,0.26,0.479
What is Pro Perks?,0,Managing account balances and transfers,2,Accessing plan benefits,0.741,0.259,0.481
How to download a subject access request document,0,Managing account balances and transfers,2,Accessing plan benefits,0.74,0.26,0.481
Report a card payment as a scam or fraud,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.741,0.259,0.482
Is there a fee associated with crypto staking?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.741,0.259,0.482
Lost or stolen device,0,Managing account balances and transfers,2,Accessing plan benefits,0.701,0.218,0.483
Change my name,0,Managing account balances and transfers,2,Accessing plan benefits,0.741,0.259,0.483
Cancelling your scheduled plan downgrade,0,Managing account balances and transfers,2,Accessing plan benefits,0.705,0.223,0.483
Revolut data plans,0,Managing account balances and transfers,2,Accessing plan benefits,0.672,0.188,0.484
Buy bonds in the Revolut app,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.727,0.238,0.488
Savings Challenge,0,Managing account balances and transfers,2,Accessing plan benefits,0.674,0.186,0.488
Reasons you can trust Revolut,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.685,0.196,0.489
I was asked for additional information about my transaction,0,Managing account balances and transfers,2,Accessing plan benefits,0.745,0.255,0.49
Why can't I trade in Revolut X?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.685,0.193,0.492
How do I share feedback with Revolut?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.747,0.253,0.495
Trouble with mobile verification code,0,Managing account balances and transfers,2,Accessing plan benefits,0.749,0.251,0.498
Can I cancel an Airport Fast Track pass? ,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.679,0.181,0.498
What is a crypto ETN?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.75,0.25,0.5
Accessing your transaction history from your Revolut account,0,Managing account balances and transfers,2,Accessing plan benefits,0.708,0.206,0.502
Reporting vulnerable circumstances to Revolut,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.68,0.177,0.503
Trading orders routing,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.752,0.248,0.504
Cancel a transaction on the Revolut Terminal,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.755,0.245,0.511
Getting started with travel insurance,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.693,0.179,0.513
Exceeding my ISA allowance,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.756,0.244,0.513
Managing mobile plans and add-ons,0,Managing account balances and transfers,2,Accessing plan benefits,0.728,0.214,0.514
Discounts for loyal customers,0,Managing account balances and transfers,2,Accessing plan benefits,0.759,0.241,0.517
Crypto delisting,0,Managing account balances and transfers,2,Accessing plan benefits,0.761,0.239,0.522
Warranty on the Revolut Reader,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.762,0.238,0.524
Getting started with Savings,0,Managing account balances and transfers,2,Accessing plan benefits,0.749,0.221,0.529
What is an event?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.725,0.195,0.53
Source of funds,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.744,0.21,0.534
Managing a mobile plan for a lost or stolen device,0,Managing account balances and transfers,2,Accessing plan benefits,0.721,0.184,0.537
Commodities supported features,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.772,0.228,0.544
Tier progression and account changes,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.777,0.223,0.554
Can I contact Revolut using a Power of Attorney?,0,Managing account balances and transfers,2,Accessing plan benefits,0.706,0.152,0.554
Documents for a closed account ,0,Managing account balances and transfers,2,Accessing plan benefits,0.735,0.18,0.555
How can I view or manage my Revolut Pet Insurance policy?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.765,0.208,0.557
What is the consolidated statement?,0,Managing account balances and transfers,2,Accessing plan benefits,0.767,0.208,0.558
Next payment date for your paid plan,0,Managing account balances and transfers,2,Accessing plan benefits,0.779,0.221,0.558
Bonds fees,0,Managing account balances and transfers,2,Accessing plan benefits,0.779,0.221,0.558
How do I manage notifications from Revolut?,0,Managing account balances and transfers,2,Accessing plan benefits,0.761,0.202,0.559
Someone wants to give you a lot of money?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.78,0.22,0.56
Personal data required to create a Revolut account,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.782,0.218,0.563
Urgent text from a kid or friend?,0,Managing account balances and transfers,2,Accessing plan benefits,0.716,0.151,0.565
"Commodities prices, rates, and fees",0,Managing account balances and transfers,2,Accessing plan benefits,0.744,0.174,0.569
Pet Insurance payments and renewals,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.785,0.215,0.569
Why haven't I received my Referrals reward?,0,Managing account balances and transfers,2,Accessing plan benefits,0.725,0.154,0.571
How can I see my total wealth analytics?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.74,0.17,0.571
When will I receive my Revolut Terminal?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.739,0.165,0.574
Refund protection coverage,1,Travel insurance trip coverage,2,Accessing plan benefits,0.734,0.153,0.58
What gambling support is available?,0,Managing account balances and transfers,2,Accessing plan benefits,0.791,0.209,0.583
"Add, edit, or delete a beneficiary",0,Managing account balances and transfers,2,Accessing plan benefits,0.747,0.163,0.584
What does the Experiences feature offer?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.792,0.208,0.584
Overview of Revolut Trading Ltd's omnibus account ,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.785,0.2,0.585
Taxes on crypto,0,Managing account balances and transfers,2,Accessing plan benefits,0.773,0.187,0.586
Feeling pressured or threatened?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.795,0.205,0.589
I received a transfer from an unknown sender,0,Managing account balances and transfers,2,Accessing plan benefits,0.795,0.205,0.59
Earning interest with Savings,0,Managing account balances and transfers,2,Accessing plan benefits,0.745,0.154,0.591
Can I label my eSIM for my data plan?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.747,0.155,0.592
Sign in with face ID or fingerprint,0,Managing account balances and transfers,2,Accessing plan benefits,0.755,0.162,0.593
I'm unable to send money to another Revolut customer,0,Managing account balances and transfers,2,Accessing plan benefits,0.781,0.188,0.593
Who are Revolut Pet Insurance?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.797,0.203,0.594
How do I log in to my Revolut Terminal?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.772,0.174,0.598
Purchase protection coverage,1,Travel insurance trip coverage,2,Accessing plan benefits,0.756,0.155,0.601
Trading with crypto tiered pricing,0,Managing account balances and transfers,2,Accessing plan benefits,0.801,0.199,0.601
Start with Revolut Ramp,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.776,0.174,0.602
Managing your paid plan billing,0,Managing account balances and transfers,2,Accessing plan benefits,0.801,0.199,0.602
Change passcode,0,Managing account balances and transfers,2,Accessing plan benefits,0.801,0.199,0.603
Who provides Ultra trip and event cancellation protection?,1,Travel insurance trip coverage,2,Accessing plan benefits,0.802,0.198,0.605
Revolut - Kids & Teens statements,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.756,0.151,0.606
Revolut mobile plans,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.737,0.132,0.606
Who is Revolut's travel insurance provider?,1,Travel insurance trip coverage,2,Accessing plan benefits,0.804,0.196,0.609
Stocks and Shares Individual Savings Account (ISA),0,Managing account balances and transfers,2,Accessing plan benefits,0.789,0.18,0.61
Auto-renewing an eSIM data plan,0,Managing account balances and transfers,2,Accessing plan benefits,0.806,0.194,0.611
Order a physical card,0,Managing account balances and transfers,2,Accessing plan benefits,0.806,0.194,0.612
How does Revolut protect me against fraud?,0,Managing account balances and transfers,2,Accessing plan benefits,0.781,0.166,0.616
Change my phone number,0,Managing account balances and transfers,2,Accessing plan benefits,0.809,0.191,0.617
Mobile plan access and payment,0,Managing account balances and transfers,2,Accessing plan benefits,0.756,0.139,0.617
Will my hardware be affected by the account transition?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.81,0.19,0.619
How to download a card confirmation document,0,Managing account balances and transfers,2,Accessing plan benefits,0.794,0.173,0.621
Why are my statement balance and in-app balance different?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.77,0.145,0.624
Is my private information safe?,0,Managing account balances and transfers,2,Accessing plan benefits,0.777,0.153,0.624
Security risks of root access,2,Accessing plan benefits,0,Managing account balances and transfers,0.813,0.187,0.626
Which merchants are not supported by Revolut?,0,Managing account balances and transfers,2,Accessing plan benefits,0.814,0.186,0.627
eSIM on Revolut Terminals,0,Managing account balances and transfers,2,Accessing plan benefits,0.814,0.186,0.628
Manage a Stays booking,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.815,0.185,0.63
What currency will I be charged in?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.815,0.185,0.63
What is 3D Secure?,0,Managing account balances and transfers,2,Accessing plan benefits,0.815,0.185,0.631
Duplicate account,0,Managing account balances and transfers,2,Accessing plan benefits,0.816,0.184,0.631
Change my address,0,Managing account balances and transfers,2,Accessing plan benefits,0.807,0.176,0.631
How do I get an update on my existing claim?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.787,0.155,0.633
Purchase RevPoints in app,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.762,0.127,0.636
Order a Revolut Pro card,0,Managing account balances and transfers,2,Accessing plan benefits,0.785,0.148,0.637
Uber One,2,Accessing plan benefits,0,Managing account balances and transfers,0.8,0.162,0.638
Claiming special bonus offered by Revolut promotion,0,Managing account balances and transfers,2,Accessing plan benefits,0.82,0.18,0.64
Documents and statements for my Savings accounts,0,Managing account balances and transfers,2,Accessing plan benefits,0.78,0.139,0.641
"Supported crypto deposit currencies, networks, and exchanges",0,Managing account balances and transfers,2,Accessing plan benefits,0.822,0.178,0.644
Is my crypto safe with Revolut?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.812,0.165,0.647
Fees for cash withdrawals,0,Managing account balances and transfers,2,Accessing plan benefits,0.8,0.153,0.648
How do I manage a Group Pocket?,0,Managing account balances and transfers,2,Accessing plan benefits,0.784,0.136,0.648
Event ticket cancellation protection coverage,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.783,0.135,0.648
What will happen to my funds if Revolut goes bankrupt?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.802,0.152,0.649
Order a Joint account card,0,Managing account balances and transfers,2,Accessing plan benefits,0.801,0.148,0.653
How does Bulgaria adopting the Euro affect me?,0,Managing account balances and transfers,2,Accessing plan benefits,0.826,0.174,0.653
How do I block and unblock a merchant?,0,Managing account balances and transfers,2,Accessing plan benefits,0.826,0.174,0.653
Getting started with purchase insurance,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.804,0.15,0.654
Who is covered by travel insurance?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.816,0.161,0.654
Warranty on Revolut Terminals,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.827,0.173,0.655
How are the funds in my Savings accounts protected?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.797,0.142,0.655
How do I provide proof of address?,0,Managing account balances and transfers,2,Accessing plan benefits,0.808,0.152,0.656
Hidden balance feature,0,Managing account balances and transfers,2,Accessing plan benefits,0.796,0.139,0.657
Why was my ATM withdrawal declined?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.829,0.171,0.658
What are the fees for Trading Pro?,2,Accessing plan benefits,0,Managing account balances and transfers,0.829,0.171,0.658
Headway,2,Accessing plan benefits,0,Managing account balances and transfers,0.81,0.152,0.658
Headspace,2,Accessing plan benefits,0,Managing account balances and transfers,0.815,0.157,0.658
"Now that Revolut is a bank, how is my money protected?",0,Managing account balances and transfers,1,Travel insurance trip coverage,0.829,0.171,0.658
I ordered a card and it didn't arrive,0,Managing account balances and transfers,2,Accessing plan benefits,0.817,0.159,0.659
How do I move money out of my Revolut Pro account?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.791,0.132,0.66
Install the Shopify plugin for Revolut Pro,0,Managing account balances and transfers,2,Accessing plan benefits,0.791,0.129,0.662
Perplexity,2,Accessing plan benefits,0,Managing account balances and transfers,0.831,0.169,0.662
Does the account transfer impact my plan insurance cover?,1,Travel insurance trip coverage,2,Accessing plan benefits,0.816,0.154,0.662
Change or verify email address,0,Managing account balances and transfers,2,Accessing plan benefits,0.814,0.151,0.662
My transfer to or from someone on Revolut wasn't received,0,Managing account balances and transfers,2,Accessing plan benefits,0.803,0.142,0.662
How can I file a complaint?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.779,0.115,0.664
Update my tax information,0,Managing account balances and transfers,2,Accessing plan benefits,0.822,0.157,0.665
How can I see my cashflow analytics?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.806,0.141,0.665
An urgent call out of the blue?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.812,0.147,0.666
How do I cancel my Pet Insurance policy?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.834,0.166,0.667
What are Revolut's safety features?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.795,0.126,0.668
How to complete 'Add Money' step,0,Managing account balances and transfers,2,Accessing plan benefits,0.804,0.136,0.668
Managing my eSIM data plan,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.799,0.13,0.67
Revolut crypto features and products,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.825,0.154,0.671
Forgotten passcode for a Kids & Teens account,0,Managing account balances and transfers,2,Accessing plan benefits,0.836,0.164,0.673
Why didn't I get a bank account when I signed up?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.8,0.127,0.673
Who provides Revolut's everyday protection insurance?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.824,0.151,0.673
Difficulty logging in,0,Managing account balances and transfers,2,Accessing plan benefits,0.821,0.148,0.673
Revolut – Kids & Teens Earn,0,Managing account balances and transfers,2,Accessing plan benefits,0.812,0.14,0.673
How do I update my trading account details?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.786,0.113,0.674
About crypto unified balance,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.831,0.155,0.676
Laundryheap,2,Accessing plan benefits,0,Managing account balances and transfers,0.829,0.153,0.676
WeWork,2,Accessing plan benefits,0,Managing account balances and transfers,0.825,0.15,0.676
Revolut X top-ups and withdrawals,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.838,0.162,0.676
Getting started with Revolut,0,Managing account balances and transfers,2,Accessing plan benefits,0.802,0.126,0.677
Pay with Revolut Ramp,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.815,0.138,0.677
