title,topic_1,label_1,topic_2,label_2,p1,p2,margin
Report a fraudulent transfer,5,Reporting phone and payment scams,21,External bank account transfers,0.196,0.165,0.031
I lost access to my passkey,3,Identity and account verification,13,Accessing Revolut plan benefits,0.287,0.256,0.031
What card brands and types can I get?,22,Ordering new cards,8,Supported currencies and cards,0.412,0.38,0.032
I lost access to a device my passkey is stored on,13,Accessing Revolut plan benefits,3,Identity and account verification,0.271,0.238,0.033
My Ramp payment failed. What should I do?,1,Card payment troubleshooting,16,Revolut crypto trading and setup,0.254,0.22,0.034
Is there a fee associated with crypto staking?,16,Revolut crypto trading and setup,6,Currency exchange and withdrawal fees,0.483,0.449,0.034
Where can I use my Revolut card?,1,Card payment troubleshooting,8,Supported currencies and cards,0.317,0.282,0.035
Order a Revolut Pro card,22,Ordering new cards,1,Card payment troubleshooting,0.28,0.243,0.036
How do I add funds to my Pro account?,4,Joint account closure,1,Card payment troubleshooting,0.214,0.178,0.036
How do I manage notifications from Revolut?,27,Account security and fraud protection,3,Identity and account verification,0.257,0.22,0.037
Is my private information safe?,27,Account security and fraud protection,23,eSIM data plan management,0.445,0.408,0.037
What is Revolut Reader and how do I use it?,1,Card payment troubleshooting,4,Joint account closure,0.194,0.157,0.038
Which Revolut companies provide me with services?,0,Travel insurance trip coverage,23,eSIM data plan management,0.288,0.249,0.039
Warranty on Revolut Terminals,27,Account security and fraud protection,18,Reporting vulnerable circumstances,0.259,0.22,0.039
RevPoints spare change,12,RevPoints loyalty program,26,Managing Revolut Pockets,0.483,0.443,0.039
What is the analytics dashboard?,26,Managing Revolut Pockets,12,RevPoints loyalty program,0.231,0.19,0.041
Get started with Revolut X,3,Identity and account verification,16,Revolut crypto trading and setup,0.231,0.19,0.041
Crypto withdrawal limits,9,Crypto deposit troubleshooting,6,Currency exchange and withdrawal fees,0.359,0.317,0.041
Get started with Bonds,16,Revolut crypto trading and setup,4,Joint account closure,0.167,0.125,0.043
Supported currencies for holding,8,Supported currencies and cards,24,Currency accounts and exchange fees,0.414,0.37,0.044
Can I make a local transfer in a different currency?,11,Transfer status and delays,21,External bank account transfers,0.374,0.33,0.044
Receiving money to my Revolut card,1,Card payment troubleshooting,21,External bank account transfers,0.221,0.175,0.045
Open and manage additional currency accounts,24,Currency accounts and exchange fees,21,External bank account transfers,0.249,0.204,0.045
How much does it cost to accept payments with Revolut Pro?,6,Currency exchange and withdrawal fees,1,Card payment troubleshooting,0.318,0.273,0.045
How can I redeem my Pro Perks offers?,12,RevPoints loyalty program,4,Joint account closure,0.384,0.338,0.045
What are partner benefits?,15,Downgrading paid plans,13,Accessing Revolut plan benefits,0.425,0.377,0.048
Do I have an individual cryptocurrency wallet?,24,Currency accounts and exchange fees,16,Revolut crypto trading and setup,0.414,0.367,0.048
Cancel a transaction on the Revolut Terminal,2,Trading order types,17,Managing scheduled transfers,0.394,0.342,0.051
Getting started with Revolut,4,Joint account closure,3,Identity and account verification,0.254,0.202,0.052
How is the portfolio value calculated?,2,Trading order types,4,Joint account closure,0.268,0.216,0.053
"Crypto payment fees, rates, and limits",6,Currency exchange and withdrawal fees,16,Revolut crypto trading and setup,0.31,0.257,0.053
How can I get a full statement of my Ramp transaction?,16,Revolut crypto trading and setup,25,Download account statements,0.418,0.366,0.053
Personalise RevPoints,12,RevPoints loyalty program,23,eSIM data plan management,0.466,0.414,0.053
Why was my ATM withdrawal declined?,6,Currency exchange and withdrawal fees,18,Reporting vulnerable circumstances,0.198,0.145,0.053
Review my information with CIFAS Marker,20,Tax and national identification,3,Identity and account verification,0.31,0.255,0.054
Fraud and cybercrime reporting to national authorities,5,Reporting phone and payment scams,20,Tax and national identification,0.501,0.447,0.054
How does sorting to investments work?,6,Currency exchange and withdrawal fees,24,Currency accounts and exchange fees,0.262,0.207,0.055
I sent a transfer to the wrong Revolut customer,17,Managing scheduled transfers,18,Reporting vulnerable circumstances,0.304,0.248,0.056
I was charged extra by my bank for a Ramp payment. Why?,16,Revolut crypto trading and setup,24,Currency accounts and exchange fees,0.218,0.161,0.057
Problems with my card PIN,1,Card payment troubleshooting,22,Ordering new cards,0.318,0.261,0.057
Why is my balance now negative?,1,Card payment troubleshooting,24,Currency accounts and exchange fees,0.226,0.169,0.057
Why has my card payment been reverted?,11,Transfer status and delays,0,Travel insurance trip coverage,0.397,0.337,0.06
Accepted proof of address documents,3,Identity and account verification,25,Download account statements,0.319,0.257,0.062
Standard plan,6,Currency exchange and withdrawal fees,15,Downgrading paid plans,0.363,0.299,0.063
How to make cash deposits,1,Card payment troubleshooting,21,External bank account transfers,0.316,0.252,0.063
The name on my card is incorrect,22,Ordering new cards,1,Card payment troubleshooting,0.325,0.262,0.063
How does Revolut Pro cashback work and how can I boost it?,15,Downgrading paid plans,4,Joint account closure,0.314,0.249,0.064
Why was my card payment declined if I have enough funds?,1,Card payment troubleshooting,24,Currency accounts and exchange fees,0.326,0.263,0.064
Warranty on the Revolut Reader,27,Account security and fraud protection,1,Card payment troubleshooting,0.182,0.117,0.064
Why was my Savings Accounts restricted or closed?,4,Joint account closure,19,FSCS protection for Revolut accounts,0.317,0.25,0.067
Pro account under review or payments not working,3,Identity and account verification,4,Joint account closure,0.371,0.302,0.07
Linking an existing card,1,Card payment troubleshooting,22,Ordering new cards,0.364,0.294,0.07
Stocks and Shares ISA transfers,11,Transfer status and delays,20,Tax and national identification,0.425,0.354,0.071
I want to cancel a bank transfer,11,Transfer status and delays,17,Managing scheduled transfers,0.313,0.242,0.072
Who regulates Revolut Bank and where can I complain?,19,FSCS protection for Revolut accounts,4,Joint account closure,0.307,0.235,0.072
Free 24/7 FirstVet Video Consultations,18,Reporting vulnerable circumstances,0,Travel insurance trip coverage,0.254,0.18,0.073
Other crypto token information,16,Revolut crypto trading and setup,9,Crypto deposit troubleshooting,0.536,0.464,0.073
What features are available with Revolut Pro?,1,Card payment troubleshooting,4,Joint account closure,0.346,0.271,0.074
Will my account details change after my account is moved?,4,Joint account closure,9,Crypto deposit troubleshooting,0.287,0.212,0.075
How will the account transition affect returns/chargebacks?,4,Joint account closure,19,FSCS protection for Revolut accounts,0.404,0.329,0.075
Card deposit limits and fees,1,Card payment troubleshooting,6,Currency exchange and withdrawal fees,0.235,0.159,0.076
Revolut Chrome Extension,1,Card payment troubleshooting,22,Ordering new cards,0.428,0.351,0.078
Why aren’t my contactless payments working?,1,Card payment troubleshooting,22,Ordering new cards,0.399,0.321,0.078
Is physical card activation necessary before the deadline?,7,Referral purchase step requirements,22,Ordering new cards,0.36,0.28,0.079
My transfer to or from someone on Revolut wasn't received,3,Identity and account verification,11,Transfer status and delays,0.239,0.16,0.079
My transfer to another Revolut customer is pending,17,Managing scheduled transfers,11,Transfer status and delays,0.386,0.305,0.081
Crypto rates and spread,2,Trading order types,16,Revolut crypto trading and setup,0.511,0.429,0.082
Sending money from Revolut to a bank account,21,External bank account transfers,11,Transfer status and delays,0.323,0.241,0.082
Disruptions to adding money with Visa cards,1,Card payment troubleshooting,21,External bank account transfers,0.363,0.281,0.082
Your Joint account statement,4,Joint account closure,25,Download account statements,0.32,0.238,0.082
How to split a bill with another Revolut customer,17,Managing scheduled transfers,1,Card payment troubleshooting,0.451,0.368,0.083
Will my account be at risk while it's being moved over?,4,Joint account closure,19,FSCS protection for Revolut accounts,0.265,0.182,0.083
Why was the transfer to my account reverted?,11,Transfer status and delays,21,External bank account transfers,0.339,0.256,0.083
Understanding our onboarding question about affiliations,4,Joint account closure,20,Tax and national identification,0.384,0.299,0.085
Why has my card transfer failed or been declined?,11,Transfer status and delays,21,External bank account transfers,0.395,0.309,0.086
Add money to your savings account,26,Managing Revolut Pockets,19,FSCS protection for Revolut accounts,0.284,0.196,0.088
Confirm your personal details again,3,Identity and account verification,20,Tax and national identification,0.349,0.26,0.089
Crypto collections,16,Revolut crypto trading and setup,6,Currency exchange and withdrawal fees,0.304,0.211,0.093
Promotional cashback,13,Accessing Revolut plan benefits,7,Referral purchase step requirements,0.277,0.185,0.093
Taxes on crypto,16,Revolut crypto trading and setup,20,Tax and national identification,0.365,0.272,0.093
How do I update my trading account details?,3,Identity and account verification,20,Tax and national identification,0.335,0.24,0.095
Ultra plan,15,Downgrading paid plans,0,Travel insurance trip coverage,0.297,0.2,0.097
Switching languages in the app,24,Currency accounts and exchange fees,27,Account security and fraud protection,0.319,0.222,0.097
Add money with Apple Pay or Google Pay,1,Card payment troubleshooting,21,External bank account transfers,0.27,0.173,0.097
My card has been swallowed by an ATM,22,Ordering new cards,1,Card payment troubleshooting,0.319,0.221,0.098
My phone suddenly lost signal,5,Reporting phone and payment scams,23,eSIM data plan management,0.365,0.267,0.098
What if I don't have enough money in my bills Pocket?,26,Managing Revolut Pockets,1,Card payment troubleshooting,0.251,0.152,0.098
Manage my deposit cards,1,Card payment troubleshooting,22,Ordering new cards,0.27,0.169,0.101
Card payment fees and limits,1,Card payment troubleshooting,6,Currency exchange and withdrawal fees,0.308,0.207,0.101
How can my friend order a physical card?,7,Referral purchase step requirements,22,Ordering new cards,0.357,0.256,0.101
What is Revolut Pay?,1,Card payment troubleshooting,12,RevPoints loyalty program,0.409,0.307,0.102
Sign in with face ID or fingerprint,3,Identity and account verification,27,Account security and fraud protection,0.388,0.286,0.102
Public Figure Check - More Information,4,Joint account closure,20,Tax and national identification,0.41,0.306,0.104
Close my Savings account,4,Joint account closure,19,FSCS protection for Revolut accounts,0.301,0.198,0.104
Change my date of birth,3,Identity and account verification,25,Download account statements,0.326,0.22,0.106
Can I transfer money to Ukraine?,21,External bank account transfers,11,Transfer status and delays,0.359,0.253,0.106
Change my name,3,Identity and account verification,4,Joint account closure,0.284,0.177,0.107
Mobile plan allowance and consumption,23,eSIM data plan management,15,Downgrading paid plans,0.401,0.292,0.108
Order a physical card for Referrals reward,7,Referral purchase step requirements,22,Ordering new cards,0.402,0.291,0.111
Requesting money with a payment link,1,Card payment troubleshooting,21,External bank account transfers,0.272,0.16,0.112
Crypto delisting,16,Revolut crypto trading and setup,27,Account security and fraud protection,0.366,0.253,0.113
What happens to my partner benefits if I change my plan?,15,Downgrading paid plans,13,Accessing Revolut plan benefits,0.522,0.408,0.114
What is 3D Secure?,1,Card payment troubleshooting,27,Account security and fraud protection,0.319,0.204,0.115
Joint account transfers,4,Joint account closure,21,External bank account transfers,0.388,0.273,0.115
What currency account details are available for me?,24,Currency accounts and exchange fees,21,External bank account transfers,0.326,0.21,0.116
Fund my investment account,24,Currency accounts and exchange fees,6,Currency exchange and withdrawal fees,0.4,0.283,0.117
Edit the time on my Revolut Terminal,27,Account security and fraud protection,23,eSIM data plan management,0.434,0.317,0.117
Why did my recipient receive less money?,21,External bank account transfers,11,Transfer status and delays,0.413,0.295,0.118
Trusted recipients,17,Managing scheduled transfers,27,Account security and fraud protection,0.45,0.33,0.119
When will Revolut credit be available in my country?,8,Supported currencies and cards,15,Downgrading paid plans,0.318,0.196,0.121
What happens to my data while my account is being moved?,4,Joint account closure,23,eSIM data plan management,0.417,0.295,0.122
Manage subscription payments to merchants,13,Accessing Revolut plan benefits,5,Reporting phone and payment scams,0.375,0.25,0.125
Kids & Teens Instant Access Savings,10,Managing Kids and Teens accounts,19,FSCS protection for Revolut accounts,0.412,0.288,0.125
Auto top-ups,1,Card payment troubleshooting,26,Managing Revolut Pockets,0.242,0.117,0.125
Revolut X top-ups and withdrawals,24,Currency accounts and exchange fees,9,Crypto deposit troubleshooting,0.334,0.21,0.125
How do I order a Revolut Terminal?,4,Joint account closure,1,Card payment troubleshooting,0.3,0.173,0.127
Does Revolut offer services in Russia?,8,Supported currencies and cards,18,Reporting vulnerable circumstances,0.564,0.436,0.128
Why was my top-up reverted?,21,External bank account transfers,4,Joint account closure,0.27,0.141,0.128
Why was my URL not accepted for Revolut Pro?,3,Identity and account verification,5,Reporting phone and payment scams,0.565,0.435,0.13
Sending and requesting money with a payment link,1,Card payment troubleshooting,21,External bank account transfers,0.318,0.186,0.132
Crypto withdrawal fees,6,Currency exchange and withdrawal fees,9,Crypto deposit troubleshooting,0.443,0.31,0.133
Can I have a trading account if I’m a US Person?,20,Tax and national identification,4,Joint account closure,0.423,0.29,0.134
Request a Revolut – Kids & Teens virtual card,10,Managing Kids and Teens accounts,22,Ordering new cards,0.407,0.273,0.134
APP fraud reimbursement eligibility,0,Travel insurance trip coverage,4,Joint account closure,0.301,0.166,0.135
What does Revolut use my data for?,3,Identity and account verification,25,Download account statements,0.401,0.266,0.136
Revolut Ramp supported currencies and limits,8,Supported currencies and cards,9,Crypto deposit troubleshooting,0.332,0.195,0.137
Dispute a card payment,11,Transfer status and delays,1,Card payment troubleshooting,0.379,0.242,0.137
How do I donate to Ukrainian refugees?,8,Supported currencies and cards,26,Managing Revolut Pockets,0.51,0.373,0.138
How to transfer funds to Revolut,21,External bank account transfers,11,Transfer status and delays,0.436,0.296,0.139
Transferring funds to an external card,21,External bank account transfers,24,Currency accounts and exchange fees,0.308,0.169,0.139
Crypto notifications,16,Revolut crypto trading and setup,3,Identity and account verification,0.284,0.144,0.14
What are the Stocks and Shares ISA fees?,6,Currency exchange and withdrawal fees,20,Tax and national identification,0.39,0.247,0.143
What are non-tradable securities?,4,Joint account closure,14,Crypto ETNs and ETPs,0.386,0.243,0.143
Locate a bank transfer sent to my Revolut account,11,Transfer status and delays,21,External bank account transfers,0.434,0.288,0.145
How do I block and unblock a merchant?,5,Reporting phone and payment scams,1,Card payment troubleshooting,0.337,0.192,0.145
Change my address,4,Joint account closure,3,Identity and account verification,0.299,0.151,0.148
Manage my external linked accounts in Revolut,21,External bank account transfers,10,Managing Kids and Teens accounts,0.263,0.114,0.149
How to link a card to a Pocket and manage it,26,Managing Revolut Pockets,1,Card payment troubleshooting,0.418,0.268,0.15
I want to cancel my transfer to a card,11,Transfer status and delays,21,External bank account transfers,0.397,0.247,0.151
Benefits and risks of trading crypto ETNs,14,Crypto ETNs and ETPs,16,Revolut crypto trading and setup,0.465,0.313,0.152
What are linked wallets?,1,Card payment troubleshooting,22,Ordering new cards,0.331,0.178,0.152
Authorised Push Payment fraud reimbursement,5,Reporting phone and payment scams,21,External bank account transfers,0.421,0.268,0.152
Card security settings,1,Card payment troubleshooting,22,Ordering new cards,0.396,0.241,0.155
How to add money with a card,1,Card payment troubleshooting,21,External bank account transfers,0.289,0.134,0.155
Can I receive large bank transfers into my Revolut account?,21,External bank account transfers,11,Transfer status and delays,0.323,0.167,0.156
How do I exchange money?,24,Currency accounts and exchange fees,21,External bank account transfers,0.307,0.151,0.157
Paying for my mobile plan,15,Downgrading paid plans,23,eSIM data plan management,0.414,0.255,0.159
My card has been used fraudulently,5,Reporting phone and payment scams,1,Card payment troubleshooting,0.327,0.167,0.16
Who provides Revolut's crypto services?,16,Revolut crypto trading and setup,19,FSCS protection for Revolut accounts,0.376,0.215,0.161
What happens if the Revolut account holder passes away?,4,Joint account closure,18,Reporting vulnerable circumstances,0.336,0.173,0.162
What are Revolut's trading fees?,6,Currency exchange and withdrawal fees,2,Trading order types,0.345,0.183,0.162
How to cancel a dispute,17,Managing scheduled transfers,11,Transfer status and delays,0.507,0.344,0.163
What happens to my Stocks and Shares ISA if I move abroad?,20,Tax and national identification,3,Identity and account verification,0.387,0.223,0.165
Why wasn’t my income sorted?,26,Managing Revolut Pockets,4,Joint account closure,0.331,0.166,0.165
Report a fraudulent ATM withdrawal,5,Reporting phone and payment scams,22,Ordering new cards,0.347,0.18,0.167
My physical card isn't working,1,Card payment troubleshooting,22,Ordering new cards,0.435,0.268,0.167
How is interest calculated on tiered Instant Access Savings?,24,Currency accounts and exchange fees,19,FSCS protection for Revolut accounts,0.499,0.331,0.168
My card deposit didn't work,21,External bank account transfers,1,Card payment troubleshooting,0.359,0.19,0.169
Will the transition affect my Pro products and services?,4,Joint account closure,19,FSCS protection for Revolut accounts,0.462,0.292,0.17
Am I eligible for Google Pay?,8,Supported currencies and cards,1,Card payment troubleshooting,0.432,0.262,0.17
Why did I receive less money?,21,External bank account transfers,11,Transfer status and delays,0.429,0.259,0.17
Restricted card deposits,8,Supported currencies and cards,1,Card payment troubleshooting,0.41,0.24,0.17
How does Revolut keep my money safe?,19,FSCS protection for Revolut accounts,21,External bank account transfers,0.391,0.22,0.171
Documents and statements for my Savings accounts,25,Download account statements,19,FSCS protection for Revolut accounts,0.351,0.181,0.171
My card payment was declined by the security system,1,Card payment troubleshooting,22,Ordering new cards,0.37,0.196,0.174
Creating a virtual card,22,Ordering new cards,1,Card payment troubleshooting,0.469,0.294,0.175
Who can use Revolut Pro and how do I get started?,4,Joint account closure,1,Card payment troubleshooting,0.313,0.136,0.177
Download statement of fees,25,Download account statements,6,Currency exchange and withdrawal fees,0.34,0.162,0.178
Forgotten passcode for a Kids & Teens account,10,Managing Kids and Teens accounts,3,Identity and account verification,0.372,0.19,0.182
More help with sending money via a payment link,17,Managing scheduled transfers,1,Card payment troubleshooting,0.376,0.193,0.183
How to withdraw cash from an ATM,6,Currency exchange and withdrawal fees,1,Card payment troubleshooting,0.389,0.206,0.183
How does Revolut process corporate actions?,2,Trading order types,27,Account security and fraud protection,0.457,0.273,0.183
How does the gambling block work?,5,Reporting phone and payment scams,18,Reporting vulnerable circumstances,0.368,0.185,0.183
Declined card payment isn't visible,1,Card payment troubleshooting,22,Ordering new cards,0.484,0.299,0.185
Revolut Kids & Teens Save,10,Managing Kids and Teens accounts,26,Managing Revolut Pockets,0.482,0.297,0.185
Managing a failed number transfer,11,Transfer status and delays,23,eSIM data plan management,0.454,0.269,0.185
Limits for using my card abroad,6,Currency exchange and withdrawal fees,24,Currency accounts and exchange fees,0.397,0.212,0.186
I can't add my card to Apple Pay,1,Card payment troubleshooting,22,Ordering new cards,0.358,0.172,0.186
I can't find my Vaults,26,Managing Revolut Pockets,19,FSCS protection for Revolut accounts,0.402,0.217,0.186
Can I transfer money to or from Russia or Belarus?,8,Supported currencies and cards,21,External bank account transfers,0.423,0.237,0.186
My beneficiary has not received my card transfer,11,Transfer status and delays,21,External bank account transfers,0.473,0.287,0.187
Hidden balance feature,24,Currency accounts and exchange fees,27,Account security and fraud protection,0.356,0.169,0.188
Security and data privacy,20,Tax and national identification,23,eSIM data plan management,0.483,0.294,0.189
Cards and contactless payments with Revolut Terminals,1,Card payment troubleshooting,8,Supported currencies and cards,0.493,0.304,0.19
Personal data required to create a Revolut account,3,Identity and account verification,23,eSIM data plan management,0.351,0.159,0.192
Trading watchlist and price alerts,2,Trading order types,3,Identity and account verification,0.303,0.108,0.195
What will happen to my account when it’s moved?,19,FSCS protection for Revolut accounts,4,Joint account closure,0.506,0.31,0.196
Can I receive my salary into my Revolut account?,21,External bank account transfers,11,Transfer status and delays,0.358,0.162,0.196
Plus plan,15,Downgrading paid plans,6,Currency exchange and withdrawal fees,0.38,0.183,0.197
How do I use a Revolut virtual card?,1,Card payment troubleshooting,22,Ordering new cards,0.458,0.26,0.198
View your crypto card payments,16,Revolut crypto trading and setup,1,Card payment troubleshooting,0.34,0.143,0.198
My card was stolen. What should I do?,1,Card payment troubleshooting,22,Ordering new cards,0.378,0.179,0.199
More help with a scheduled transfer,17,Managing scheduled transfers,11,Transfer status and delays,0.464,0.263,0.2
Tax on Savings,20,Tax and national identification,25,Download account statements,0.465,0.265,0.2
Bank transfer fees,21,External bank account transfers,11,Transfer status and delays,0.386,0.185,0.201
Metal plan,15,Downgrading paid plans,13,Accessing Revolut plan benefits,0.402,0.199,0.202
How to make sure crypto withdrawals are processed smoothly,9,Crypto deposit troubleshooting,16,Revolut crypto trading and setup,0.36,0.158,0.202
Download an account statement for a specific currency,25,Download account statements,24,Currency accounts and exchange fees,0.394,0.191,0.203
Open an investment account,20,Tax and national identification,3,Identity and account verification,0.393,0.19,0.203
Why is my withdrawal pending?,19,FSCS protection for Revolut accounts,21,External bank account transfers,0.355,0.152,0.204
Auto-renewing an eSIM data plan,23,eSIM data plan management,15,Downgrading paid plans,0.49,0.285,0.205
Crypto basics,16,Revolut crypto trading and setup,9,Crypto deposit troubleshooting,0.485,0.28,0.205
How to close a Revolut Pro account,4,Joint account closure,25,Download account statements,0.48,0.273,0.207
My card payment is pending,1,Card payment troubleshooting,11,Transfer status and delays,0.479,0.271,0.208
Revolut X fees,6,Currency exchange and withdrawal fees,24,Currency accounts and exchange fees,0.397,0.188,0.209
"Commodities prices, rates, and fees",6,Currency exchange and withdrawal fees,2,Trading order types,0.416,0.207,0.209
Turo rewards,13,Accessing Revolut plan benefits,15,Downgrading paid plans,0.389,0.179,0.21
Why your card top-ups may be blocked,21,External bank account transfers,1,Card payment troubleshooting,0.431,0.221,0.21
Will this affect my other Revolut products?,4,Joint account closure,10,Managing Kids and Teens accounts,0.402,0.192,0.21
Why is my card added to Click to Pay not shown at checkout?,1,Card payment troubleshooting,3,Identity and account verification,0.345,0.134,0.211
Reasons you can trust Revolut,27,Account security and fraud protection,23,eSIM data plan management,0.36,0.148,0.212
How to complete all steps for Referrals reward,7,Referral purchase step requirements,22,Ordering new cards,0.396,0.185,0.212
What are trading regulatory fees and taxes?,6,Currency exchange and withdrawal fees,2,Trading order types,0.483,0.269,0.213
Why did my payment amount change?,1,Card payment troubleshooting,11,Transfer status and delays,0.367,0.155,0.213
Why did I receive less crypto than I paid for?,16,Revolut crypto trading and setup,9,Crypto deposit troubleshooting,0.51,0.296,0.214
What exchange rates does Revolut offer?,24,Currency accounts and exchange fees,6,Currency exchange and withdrawal fees,0.446,0.231,0.215
Send or request money from other Revolut customers,21,External bank account transfers,6,Currency exchange and withdrawal fees,0.371,0.156,0.215
Does moving home affect Ultra trip and event coverage?,0,Travel insurance trip coverage,4,Joint account closure,0.361,0.142,0.218
How do I close my account?,4,Joint account closure,15,Downgrading paid plans,0.331,0.112,0.22
Premium plan,15,Downgrading paid plans,13,Accessing Revolut plan benefits,0.414,0.194,0.22
Why do I need to name the wallet owner for withdrawals?,9,Crypto deposit troubleshooting,20,Tax and national identification,0.494,0.27,0.224
"Now that Revolut is a bank, how is my money protected?",19,FSCS protection for Revolut accounts,4,Joint account closure,0.447,0.223,0.224
Using your credit card or a personal loan to trade stocks,14,Crypto ETNs and ETPs,2,Trading order types,0.55,0.325,0.225
My virtual card is not working,1,Card payment troubleshooting,22,Ordering new cards,0.506,0.281,0.225
Managing a mobile plan for a lost or stolen device,23,eSIM data plan management,3,Identity and account verification,0.395,0.17,0.225
Documents for a closed account ,3,Identity and account verification,25,Download account statements,0.463,0.238,0.225
Accessing the Retail Web App,3,Identity and account verification,23,eSIM data plan management,0.423,0.197,0.226
Can I get a VAT invoice for my Stays booking?,12,RevPoints loyalty program,18,Reporting vulnerable circumstances,0.419,0.193,0.226
Pet Insurance payments and renewals,0,Travel insurance trip coverage,15,Downgrading paid plans,0.462,0.236,0.226
Problems with a refund,11,Transfer status and delays,1,Card payment troubleshooting,0.482,0.254,0.227
How does Revolut protect me against fraud?,27,Account security and fraud protection,1,Card payment troubleshooting,0.374,0.146,0.228
A refund or chargeback was sent to my closed account,11,Transfer status and delays,21,External bank account transfers,0.392,0.161,0.23
