title,topic_id,llm_label,probability
Will Revolut Bank have physical branches?,19,FSCS protection for Revolut accounts,0.0
Will the account transition have any tax implications?,4,Joint account closure,1.0
Will this affect my other Revolut products?,4,Joint account closure,1.0
Why didn't I get a bank account when I signed up?,19,FSCS protection for Revolut accounts,0.4355
Will my hardware be affected by the account transition?,4,Joint account closure,1.0
Will the transition affect my Pro products and services?,4,Joint account closure,0.9629
Why is my balance now negative?,1,Card payment troubleshooting,0.9935
Add money in one tap,21,External bank account transfers,0.0
Add money with a bank transfer,21,External bank account transfers,1.0
Add money with an easy bank transfer,21,External bank account transfers,0.9271
Get paid early with Early Salary,21,External bank account transfers,1.0
Card deposit limits and fees,1,Card payment troubleshooting,0.0
How to make cash deposits,1,Card payment troubleshooting,0.0
Disruptions to adding money with Visa cards,1,Card payment troubleshooting,0.783
Receiving money to my Revolut card,1,Card payment troubleshooting,0.0
How to add money with a card,1,Card payment troubleshooting,0.0
Add money with Apple Pay or Google Pay,1,Card payment troubleshooting,0.0
Auto top-ups,1,Card payment troubleshooting,0.0
Manage my deposit cards,1,Card payment troubleshooting,0.0
My card deposit didn't work,21,External bank account transfers,0.0
Restricted card deposits,8,Supported currencies and cards,0.0
Ukraine card top-up limits,8,Supported currencies and cards,0.6419
Why was my top-up reverted?,1,Card payment troubleshooting,1.0
Cards and currencies supported for adding money,8,Supported currencies and cards,1.0
Why your card top-ups may be blocked,1,Card payment troubleshooting,1.0
Requesting money with a payment link,1,Card payment troubleshooting,0.8328
How to split a bill with another Revolut customer,1,Card payment troubleshooting,0.0
Am I covered by Ultra trip cancellation protection if I need to cancel a flight while abroad?,0,Travel insurance trip coverage,1.0
Am I covered for trips or events that I didn't purchase with my Revolut account with Ultra trip and event cancellation protection?,0,Travel insurance trip coverage,1.0
Ultra trip & event cancellation with companion coverage,0,Travel insurance trip coverage,1.0
How do I get an update on my existing claim?,0,Travel insurance trip coverage,1.0
Cancel for any reason complaints,0,Travel insurance trip coverage,1.0
How do I make a cancel for any reason protection claim?,0,Travel insurance trip coverage,1.0
My supplier won’t let me cancel my trip/event. Am I covered with Ultra trip and event cancellation protection?,0,Travel insurance trip coverage,1.0
Does moving home affect Ultra trip and event coverage?,0,Travel insurance trip coverage,1.0
Will I get a full refund for my trip or event cancellation?,0,Travel insurance trip coverage,1.0
What are the limits of cover and deductibles?,0,Travel insurance trip coverage,1.0
Getting started with cancel for any reason protection,0,Travel insurance trip coverage,1.0
Documents needed for an Ultra trip and event cancellation protection claim,0,Travel insurance trip coverage,1.0
What is a trip?,0,Travel insurance trip coverage,1.0
What is an event?,0,Travel insurance trip coverage,1.0
Who provides Ultra trip and event cancellation protection?,0,Travel insurance trip coverage,1.0
How do I link an external account to Revolut?,21,External bank account transfers,1.0
Manage my external linked accounts in Revolut,21,External bank account transfers,0.0
Can I accept multiple paid plan gifts?,15,Downgrading paid plans,0.0
Gifting a paid plan,15,Downgrading paid plans,0.0
How to share your birthday on Revolut,18,Reporting vulnerable circumstances,0.0
Receiving paid plan gifts,15,Downgrading paid plans,0.0
Sending paid plan gifts,15,Downgrading paid plans,0.0
What happens once the gifted paid plan duration ends?,15,Downgrading paid plans,0.0
Earning interest with Savings,19,FSCS protection for Revolut accounts,0.0
Getting started with Savings,19,FSCS protection for Revolut accounts,0.0
How to calculate interest on Savings accounts,19,FSCS protection for Revolut accounts,0.0
How is interest calculated on tiered Instant Access Savings?,24,Currency accounts and exchange fees,0.0
Rate decrease on my Instant Access Savings,19,FSCS protection for Revolut accounts,0.0
Why is my withdrawal pending?,11,Transfer status and delays,1.0
Savings Challenge,19,FSCS protection for Revolut accounts,0.0
Instant Access Savings promotion,19,FSCS protection for Revolut accounts,0.0
Tax on Savings,20,Tax and national identification,0.8428
How are the funds in my Savings accounts protected?,19,FSCS protection for Revolut accounts,1.0
Why was my Savings Accounts restricted or closed?,4,Joint account closure,0.0
Add money to your savings account,26,Managing Revolut Pockets,0.9163
Close my Savings account,4,Joint account closure,1.0
Withdraw from your Savings account,26,Managing Revolut Pockets,0.0
Documents and statements for my Savings accounts,25,Download account statements,1.0
Cover for cancelled and interrupted trips,0,Travel insurance trip coverage,1.0
Do I have to pay for my trip using my Revolut account?,0,Travel insurance trip coverage,1.0
Claiming after Premium travel insurance removal,0,Travel insurance trip coverage,1.0
Does moving home impact my travel insurance?,0,Travel insurance trip coverage,1.0
Travel insurance coverage,0,Travel insurance trip coverage,1.0
Travel insurance for areas affected by conflict,0,Travel insurance trip coverage,1.0
Close a Pocket,26,Managing Revolut Pockets,1.0
How do I manage a Group Pocket?,26,Managing Revolut Pockets,1.0
Adding money to Pockets,26,Managing Revolut Pockets,1.0
Withdrawing from Pockets,26,Managing Revolut Pockets,1.0
Spare change round ups,26,Managing Revolut Pockets,0.0
I can't find my Vaults,26,Managing Revolut Pockets,1.0
How to link a card to a Pocket and manage it,26,Managing Revolut Pockets,1.0
Getting started with Pockets,26,Managing Revolut Pockets,1.0
What if I don't have enough money in my bills Pocket?,1,Card payment troubleshooting,0.8281
What is Revolut Pay?,1,Card payment troubleshooting,0.0
How to withdraw cash from an ATM,6,Currency exchange and withdrawal fees,0.0
Fees for cash withdrawals,6,Currency exchange and withdrawal fees,1.0
My card payment is pending,1,Card payment troubleshooting,0.8996
How to disable RevPoints spare change?,12,RevPoints loyalty program,0.0
Why did my payment amount change?,1,Card payment troubleshooting,1.0
Fees for card payments in a foreign currency,6,Currency exchange and withdrawal fees,1.0
Setting a monthly spending limit,1,Card payment troubleshooting,0.8311
How do regulatory limits affect my usage?,1,Card payment troubleshooting,0.0
Am I eligible for Apple Pay?,8,Supported currencies and cards,0.9443
Am I eligible for Google Pay?,8,Supported currencies and cards,0.8993
Payment limits when using Apple Pay or Google Pay,1,Card payment troubleshooting,0.0
Decline reasons on Apple Pay and Google Pay,1,Card payment troubleshooting,0.9105
Setting up Apple Pay,1,Card payment troubleshooting,0.8808
Setting up Google Pay,1,Card payment troubleshooting,0.8808
Where can I pay with Apple Pay or Google Pay?,1,Card payment troubleshooting,0.0
How do I block and unblock a merchant?,5,Reporting phone and payment scams,0.5415
What currencies are supported for spending?,8,Supported currencies and cards,0.8377
Card payment fees and limits,1,Card payment troubleshooting,0.8188
Card verification and pre-authorisation,1,Card payment troubleshooting,0.7973
What is Dynamic Currency Conversion (DCC)?,24,Currency accounts and exchange fees,0.0
Which merchants are not supported by Revolut?,8,Supported currencies and cards,0.7582
What is a virtual card?,1,Card payment troubleshooting,0.0
My virtual card is not working,1,Card payment troubleshooting,0.0
Problems with my card PIN,1,Card payment troubleshooting,0.8808
Why was my card payment declined if I have enough funds?,1,Card payment troubleshooting,1.0
What is 3D Secure?,1,Card payment troubleshooting,0.0
Delayed (offline) card payments,1,Card payment troubleshooting,1.0
Where can I use my Revolut card?,8,Supported currencies and cards,1.0
Am I eligible for Click to Pay?,8,Supported currencies and cards,1.0
How do I add cards to Click to Pay?,1,Card payment troubleshooting,0.0
How can I remove my card from Click to Pay?,1,Card payment troubleshooting,0.0
What is Click to Pay?,1,Card payment troubleshooting,0.7786
Why is my card added to Click to Pay not shown at checkout?,1,Card payment troubleshooting,0.0
Declined card payment isn't visible,1,Card payment troubleshooting,1.0
My card payment was declined by the security system,1,Card payment troubleshooting,0.843
What is the location-based security feature?,27,Account security and fraud protection,1.0
My card payment was declined,1,Card payment troubleshooting,1.0
Why has my card payment been reverted?,1,Card payment troubleshooting,1.0
Report a card payment as a scam or fraud,5,Reporting phone and payment scams,0.6259
Card security settings,1,Card payment troubleshooting,0.8606
Freeze a card,5,Reporting phone and payment scams,0.609
How to cancel a dispute,17,Managing scheduled transfers,1.0
Dispute a card payment,11,Transfer status and delays,0.0
Dispute process and timelines,11,Transfer status and delays,0.5559
Update on my chargeback case,11,Transfer status and delays,0.5715
Problems with a refund,11,Transfer status and delays,0.5772
Revolut Chrome Extension,1,Card payment troubleshooting,0.8517
How to withdraw a foreign currency,24,Currency accounts and exchange fees,0.0
Limits for using my card abroad,6,Currency exchange and withdrawal fees,1.0
Tips for spending in a foreign currency,24,Currency accounts and exchange fees,1.0
What currency will I be charged in?,24,Currency accounts and exchange fees,1.0
Manage subscription payments to merchants,5,Reporting phone and payment scams,0.5356
Report a fraudulent ATM withdrawal,5,Reporting phone and payment scams,0.6249
When does my ATM withdrawal limit reset?,6,Currency exchange and withdrawal fees,1.0
Why is my ATM withdrawal pending?,11,Transfer status and delays,0.6677
Why was my ATM withdrawal declined?,1,Card payment troubleshooting,0.7777
Activate a physical card,1,Card payment troubleshooting,0.8808
Reactivate a card,22,Ordering new cards,0.0
I can't add my card to Apple Pay,1,Card payment troubleshooting,0.8808
My card was stolen. What should I do?,1,Card payment troubleshooting,0.0
The name on my card is incorrect,3,Identity and account verification,0.8259
Why is my Apple Pay card number different from my Revolut's?,1,Card payment troubleshooting,0.8808
My card has been swallowed by an ATM,5,Reporting phone and payment scams,0.6062
Why aren’t my contactless payments working?,1,Card payment troubleshooting,0.7784
My single-use virtual card isn't working,1,Card payment troubleshooting,0.0
My physical card isn't working,1,Card payment troubleshooting,0.8808
What should I do if my card is expiring soon?,22,Ordering new cards,0.0
Can I cancel or edit a card order?,22,Ordering new cards,0.0
Can I choose between Mastercard and Visa?,22,Ordering new cards,1.0
Maximum active cards,22,Ordering new cards,0.0
What are the fees for ordering a card?,22,Ordering new cards,0.9571
Creating a virtual card,22,Ordering new cards,0.0
I ordered a card and it didn't arrive,22,Ordering new cards,1.0
Card customisation,22,Ordering new cards,1.0
How does the Clear Sky debit card support Ukraine?,8,Supported currencies and cards,0.0
Order a physical card,22,Ordering new cards,1.0
How do I get the Clear Sky debit card?,22,Ordering new cards,0.0
What is a special edition card?,22,Ordering new cards,0.9445
What card brands and types can I get?,8,Supported currencies and cards,0.8216
Finding the card PIN,1,Card payment troubleshooting,0.8606
Linking an existing card,1,Card payment troubleshooting,0.7823
Can I order my card to a different address?,22,Ordering new cards,1.0
How do I use a Revolut virtual card?,1,Card payment troubleshooting,0.0
I received a card that I had marked as undelivered,1,Card payment troubleshooting,0.0
I found my lost card,22,Ordering new cards,0.0
My card has been used fraudulently,5,Reporting phone and payment scams,0.5818
Glossary of onboarding terms,14,Crypto ETNs and ETPs,0.6796
Manage scheduled transfers,17,Managing scheduled transfers,0.6002
More help with a scheduled transfer,17,Managing scheduled transfers,0.7664
Schedule a transfer,17,Managing scheduled transfers,0.0
Cash withdrawal limits and fees,6,Currency exchange and withdrawal fees,1.0
Getting started with Pet Insurance,0,Travel insurance trip coverage,0.8255
How do I make a protection insurance claim?,0,Travel insurance trip coverage,1.0
What's the excess for purchase insurance claims?,0,Travel insurance trip coverage,1.0
Submitting documents for a purchase insurance claim,0,Travel insurance trip coverage,1.0
Is my mobile device covered by Revolut purchase protection?,0,Travel insurance trip coverage,1.0
Getting started with purchase insurance,0,Travel insurance trip coverage,1.0
What's not covered under purchase insurance?,0,Travel insurance trip coverage,1.0
What items are eligible for purchase insurance?,0,Travel insurance trip coverage,1.0
Getting an update on an everyday protection claim,0,Travel insurance trip coverage,1.0
Who provides Revolut's everyday protection insurance?,0,Travel insurance trip coverage,1.0
Purchase protection coverage,0,Travel insurance trip coverage,1.0
Refund protection coverage,0,Travel insurance trip coverage,1.0
Event ticket cancellation protection coverage,0,Travel insurance trip coverage,1.0
Getting started with travel insurance,0,Travel insurance trip coverage,1.0
What is the excess for travel insurance claims?,0,Travel insurance trip coverage,1.0
Trips covered by travel insurance,0,Travel insurance trip coverage,1.0
Why is my travel insurance coverage ending?,0,Travel insurance trip coverage,1.0
Submitting documents for a travel insurance claim,0,Travel insurance trip coverage,1.0
How can I view my travel insurance policy documents?,0,Travel insurance trip coverage,0.8255
How do I get an update on my existing claim?,0,Travel insurance trip coverage,0.9318
How do I make a travel insurance claim?,0,Travel insurance trip coverage,0.9372
Emergency medical assistance abroad,0,Travel insurance trip coverage,1.0
Cover for car hire excess,0,Travel insurance trip coverage,1.0
Cover for delayed trips,0,Travel insurance trip coverage,1.0
"Cover for damaged, lost, or delayed baggage",0,Travel insurance trip coverage,1.0
Cover for medical expenses abroad,0,Travel insurance trip coverage,1.0
Cover for sports and activities,0,Travel insurance trip coverage,1.0
Who is covered by travel insurance?,0,Travel insurance trip coverage,1.0
Who is Revolut's travel insurance provider?,0,Travel insurance trip coverage,1.0
How do I cancel my Pet Insurance policy?,0,Travel insurance trip coverage,0.8255
How to make a Pet Insurance claim,0,Travel insurance trip coverage,0.8255
Pet Insurance payments and renewals,0,Travel insurance trip coverage,0.8255
How do I complain about my pet insurance?,0,Travel insurance trip coverage,0.821
How can I view or manage my Revolut Pet Insurance policy?,0,Travel insurance trip coverage,0.821
Free 24/7 FirstVet Video Consultations,0,Travel insurance trip coverage,0.8255
Who are Revolut Pet Insurance?,0,Travel insurance trip coverage,0.7236
What are the main pet insurance policy conditions I should be aware of?,0,Travel insurance trip coverage,0.8255
Can I cancel an Airport Fast Track pass? ,12,RevPoints loyalty program,0.0
How do I purchase an Airport Fast Track pass?,12,RevPoints loyalty program,0.5311
How do I use my airport fast track pass?,12,RevPoints loyalty program,0.5382
Reasons you can trust Revolut,27,Account security and fraud protection,0.0
Can I contact Revolut using a Power of Attorney?,18,Reporting vulnerable circumstances,0.0
Media enquiries,18,Reporting vulnerable circumstances,0.9408
Revolut Business,4,Joint account closure,0.0
Work at Revolut,16,Revolut crypto trading and setup,0.0
Difference between limited and full access to the web app,27,Account security and fraud protection,0.0
Does Revolut offer services in Russia?,8,Supported currencies and cards,1.0
Reporting vulnerable circumstances to Revolut,18,Reporting vulnerable circumstances,1.0
How do I share feedback with Revolut?,18,Reporting vulnerable circumstances,0.9654
I lost access to a device my passkey is stored on,3,Identity and account verification,1.0
How can I file a complaint?,18,Reporting vulnerable circumstances,0.9082
Learn about my rights when making payments in Europe,8,Supported currencies and cards,0.9644
Public Figure Check - More Information,20,Tax and national identification,1.0
What is my tax residence?,20,Tax and national identification,1.0
What happens if the Revolut account holder passes away?,4,Joint account closure,0.6433
Which Revolut companies provide me with services?,0,Travel insurance trip coverage,0.0
How can I improve my financial health?,18,Reporting vulnerable circumstances,1.0
How can I share sensitive information with Revolut?,18,Reporting vulnerable circumstances,1.0
Support if you are experiencing financial difficulties,18,Reporting vulnerable circumstances,1.0
What gambling support is available?,18,Reporting vulnerable circumstances,1.0
Where can I get help and advice on financial abuse?,18,Reporting vulnerable circumstances,0.9332
Where can I get help if I'm worried about my mental health?,18,Reporting vulnerable circumstances,0.9721
When will Revolut credit be available in my country?,8,Supported currencies and cards,0.7416
What is Revolut Pro and is it free?,1,Card payment troubleshooting,0.0
Cancel a transaction on the Revolut Terminal,17,Managing scheduled transfers,0.8495
Cards and contactless payments with Revolut Terminals,1,Card payment troubleshooting,0.8311
Failed payments on the Revolut Terminal,1,Card payment troubleshooting,0.9659
How do I order a Revolut Terminal?,1,Card payment troubleshooting,0.0
How do I log in to my Revolut Terminal?,3,Identity and account verification,0.0
eSIM on Revolut Terminals,23,eSIM data plan management,1.0
I'm having trouble using my Revolut Terminal,23,eSIM data plan management,0.0
Sales using a Revolut Pro product catalogue,17,Managing scheduled transfers,0.0
Edit the time on my Revolut Terminal,23,eSIM data plan management,0.0
Warranty on Revolut Terminals,1,Card payment troubleshooting,0.0
What are Revolut Terminals?,1,Card payment troubleshooting,0.8752
When will I receive my Revolut Terminal?,11,Transfer status and delays,0.5478
Failed payment on Tap to Pay on iPhone,1,Card payment troubleshooting,0.8755
Can I accept payments with Revolut Pro?,1,Card payment troubleshooting,0.8277
How much does it cost to accept payments with Revolut Pro?,1,Card payment troubleshooting,0.8755
What are Payment Links and how do I use them?,1,Card payment troubleshooting,0.8755
When do payments arrive in my Pro account?,11,Transfer status and delays,1.0
Install the Shopify plugin for Revolut Pro,1,Card payment troubleshooting,0.0
Revolut Pro invoices,1,Card payment troubleshooting,0.0
Warranty on the Revolut Reader,1,Card payment troubleshooting,0.0
What is Revolut Reader and how do I use it?,1,Card payment troubleshooting,0.8755
Using Tap to Pay on iPhone to take payments,1,Card payment troubleshooting,0.8755
Why should I accept payments with Revolut Pro?,1,Card payment troubleshooting,0.8755
How do I add funds to my Pro account?,21,External bank account transfers,1.0
How to close a Revolut Pro account,4,Joint account closure,1.0
Difference between Revolut Pro and Revolut Business,4,Joint account closure,0.0
How to set up Direct Debits in Pro,17,Managing scheduled transfers,0.0
What features are available with Revolut Pro?,1,Card payment troubleshooting,0.0
How do I move money out of my Revolut Pro account?,21,External bank account transfers,0.9187
Order a Revolut Pro card,22,Ordering new cards,1.0
How does Revolut Pro cashback work and how can I boost it?,6,Currency exchange and withdrawal fees,0.0
Pro account under review or payments not working,3,Identity and account verification,0.0
How can I redeem my Pro Perks offers?,12,RevPoints loyalty program,1.0
What is Pro Perks?,12,RevPoints loyalty program,0.0
What are Pro Pockets?,26,Managing Revolut Pockets,1.0
Why was my document not accepted for Revolut Pro?,3,Identity and account verification,1.0
Why was my URL not accepted for Revolut Pro?,3,Identity and account verification,0.0
Where can I find my Revolut Pro account in-app?,4,Joint account closure,0.0
Who can use Revolut Pro and how do I get started?,4,Joint account closure,0.0
Accessing the Retail Web App,3,Identity and account verification,1.0
What features are supported on the Web App?,27,Account security and fraud protection,0.9512
Security and data privacy,20,Tax and national identification,0.0
How do I close my account?,4,Joint account closure,1.0
Getting started with AIR,5,Reporting phone and payment scams,0.0
Getting started with Revolut,10,Managing Kids and Teens accounts,0.1443
How to contact Revolut Support,18,Reporting vulnerable circumstances,0.9778
Joint account card payments,4,Joint account closure,1.0
Managing joint account ownership,4,Joint account closure,1.0
I want to close my Joint account,4,Joint account closure,1.0
Your Joint account statement,4,Joint account closure,1.0
Adding money to a Joint account,21,External bank account transfers,0.8811
Setting up a Joint account,4,Joint account closure,0.9872
Joint account transfers,21,External bank account transfers,1.0
Order a Joint account card,22,Ordering new cards,1.0
Getting started with Joint Savings,4,Joint account closure,0.0
What happens if my joint account balance goes negative?,1,Card payment troubleshooting,0.9112
Revolut closed my joint account,4,Joint account closure,1.0
Difficulty logging in,3,Identity and account verification,1.0
Change passcode,3,Identity and account verification,1.0
I lost access to my passkey,3,Identity and account verification,1.0
Duplicate account,4,Joint account closure,1.0
Log in with a new phone number,3,Identity and account verification,1.0
Lost or stolen device,3,Identity and account verification,1.0
Sign in with face ID or fingerprint,3,Identity and account verification,1.0
What are passkeys?,3,Identity and account verification,1.0
Download your account confirmation,25,Download account statements,0.9077
Download an account statement for a specific currency,25,Download account statements,1.0
How to download a card confirmation document,25,Download account statements,0.8671
Download a cryptocurrency statement,25,Download account statements,1.0
Documents for a closed account ,3,Identity and account verification,0.8789
Get a Pockets statement,25,Download account statements,0.0
Download transaction or top-up statement,25,Download account statements,1.0
Download statement of fees,25,Download account statements,1.0
How to download a subject access request document,25,Download account statements,0.0
How can I download trading statements and reports?,25,Download account statements,1.0
Why are my statement balance and in-app balance different?,24,Currency accounts and exchange fees,1.0
What is the consolidated statement?,25,Download account statements,1.0
Cancelling your scheduled plan downgrade,15,Downgrading paid plans,1.0
Downgrading your paid plan,15,Downgrading paid plans,1.0
Paid plan downgrade fees ,15,Downgrading paid plans,0.9399
Changing your paid plan billing date,15,Downgrading paid plans,1.0
Managing your paid plan billing,15,Downgrading paid plans,1.0
Pay for your missed plan payment,15,Downgrading paid plans,0.9753
Your paid plan subscription end date,15,Downgrading paid plans,0.9908
Next payment date for your paid plan,15,Downgrading paid plans,1.0
Paid plan payment status,15,Downgrading paid plans,1.0
Chess.com,13,Accessing Revolut plan benefits,1.0
ClassPass,13,Accessing Revolut plan benefits,0.9924
Financial Times,13,Accessing Revolut plan benefits,1.0
Freeletics,13,Accessing Revolut plan benefits,1.0
Headspace,13,Accessing Revolut plan benefits,1.0
Headway,13,Accessing Revolut plan benefits,0.8633
MasterClass,13,Accessing Revolut plan benefits,0.6466
NordVPN,13,Accessing Revolut plan benefits,0.5268
Perplexity,13,Accessing Revolut plan benefits,0.4642
Picsart,13,Accessing Revolut plan benefits,1.0
How do I access a partner benefit?,13,Accessing Revolut plan benefits,0.0
Laundryheap,13,Accessing Revolut plan benefits,1.0
What happens to my partner benefits if I change my plan?,15,Downgrading paid plans,0.0
What are partner benefits?,13,Accessing Revolut plan benefits,0.0
Sleep Cycle,13,Accessing Revolut plan benefits,0.6715
The Athletic,13,Accessing Revolut plan benefits,1.0
Tinder,13,Accessing Revolut plan benefits,0.7223
Turo rewards,13,Accessing Revolut plan benefits,0.3337
Uber One,13,Accessing Revolut plan benefits,1.0
WeWork,13,Accessing Revolut plan benefits,0.4761
Discounts for loyal customers,15,Downgrading paid plans,0.7798
Promotional and free trials,15,Downgrading paid plans,0.8493
Order a paid plan card,22,Ordering new cards,1.0
Metal plan,15,Downgrading paid plans,0.0
Plus plan,6,Currency exchange and withdrawal fees,0.0
Premium plan,15,Downgrading paid plans,0.0
Standard plan,6,Currency exchange and withdrawal fees,0.0
Ultra plan,0,Travel insurance trip coverage,0.0
Can I reopen my closed account?,4,Joint account closure,0.0
Switching languages in the app,24,Currency accounts and exchange fees,1.0
How do I manage notifications from Revolut?,3,Identity and account verification,0.0
Trouble with mobile verification code,3,Identity and account verification,0.0
Change my address,4,Joint account closure,1.0
Change my date of birth,3,Identity and account verification,1.0
Change my name,3,Identity and account verification,1.0
Change my phone number,3,Identity and account verification,0.9273
Change or verify email address,3,Identity and account verification,1.0
Change my Revtag,4,Joint account closure,0.0
Update my tax information,20,Tax and national identification,0.9801
Source of funds,3,Identity and account verification,1.0
Upgrade my plan,15,Downgrading paid plans,1.0
Accepted proof of address documents,3,Identity and account verification,1.0
Documents for the source of funds verification,3,Identity and account verification,1.0
Verify my identity,3,Identity and account verification,1.0
How do I provide proof of address?,3,Identity and account verification,1.0
I'm unable to verify my identity,3,Identity and account verification,1.0
Where you can sign up for Revolut,8,Supported currencies and cards,0.0
What is Revolut ID?,3,Identity and account verification,1.0
Managing a Revolut – Kids & Teens account,10,Managing Kids and Teens accounts,1.0
Revolut – Kids & Teens cards,10,Managing Kids and Teens accounts,0.6044
Revolut – Kids & Teens Earn,10,Managing Kids and Teens accounts,1.0
Revolut Kids & Teens Rewards,10,Managing Kids and Teens accounts,1.0
Revolut Kids & Teens Save,10,Managing Kids and Teens accounts,0.8833
Revolut – Kids & Teens payments,10,Managing Kids and Teens accounts,0.8267
Add money to or withdraw from Revolut Kids & Teens account,10,Managing Kids and Teens accounts,1.0
Forgotten passcode for a Kids & Teens account,3,Identity and account verification,1.0
Graduation to the main app,10,Managing Kids and Teens accounts,1.0
Kids & Teens Instant Access Savings,10,Managing Kids and Teens accounts,0.7918
Open a Revolut – Kids & Teens account,10,Managing Kids and Teens accounts,1.0
Revolut — Kids & Teens subscription bundles,10,Managing Kids and Teens accounts,0.3829
Request a Revolut – Kids & Teens virtual card,10,Managing Kids and Teens accounts,0.9268
Revolut – Kids & Teens card management,10,Managing Kids and Teens accounts,0.7739
Revolut Kids & Teens Payment Links,10,Managing Kids and Teens accounts,1.0
Revolut - Kids & Teens Referrals,10,Managing Kids and Teens accounts,0.4488
Revolut - Kids & Teens statements,10,Managing Kids and Teens accounts,1.0
What if Revolut - Kids & Teens isn't available?,10,Managing Kids and Teens accounts,0.1354
Is my private information safe?,27,Account security and fraud protection,1.0
When to put gambling controls in place,18,Reporting vulnerable circumstances,1.0
How does the gambling block work?,5,Reporting phone and payment scams,0.5904
A refund or chargeback was sent to my closed account,11,Transfer status and delays,0.581
My account was restricted or closed,3,Identity and account verification,0.0
Report a fraudulent transfer,5,Reporting phone and payment scams,0.6261
What does Revolut use my data for?,3,Identity and account verification,0.0
How long will Revolut hold my data?,23,eSIM data plan management,0.0
Personal data required to create a Revolut account,3,Identity and account verification,0.0
Hidden balance feature,24,Currency accounts and exchange fees,0.0
Why haven't I received my Referrals reward?,7,Referral purchase step requirements,1.0
Referral reward smaller than expected,7,Referral purchase step requirements,0.7605
How to complete all steps for Referrals reward,7,Referral purchase step requirements,0.9803
How to complete 'Make purchases' step for Referrals reward,7,Referral purchase step requirements,0.9712
Why hasn't my referrer received their Referrals reward?,7,Referral purchase step requirements,1.0
How to add money for the Referrals reward,7,Referral purchase step requirements,1.0
Order a physical card for Referrals reward,7,Referral purchase step requirements,0.0
Referrals reward requirements,7,Referral purchase step requirements,1.0
Conditions for the referral campaign,7,Referral purchase step requirements,1.0
Completing the 'Make purchases' step,7,Referral purchase step requirements,1.0
Claiming special bonus offered by Revolut promotion,7,Referral purchase step requirements,1.0
Missing reward from an influencer or brand signup,7,Referral purchase step requirements,1.0
Promotional cashback,7,Referral purchase step requirements,0.8567
Is physical card activation necessary before the deadline?,22,Ordering new cards,0.8431
Is a physical card required for your friend's purchases?,7,Referral purchase step requirements,0.7078
How can my friend order a physical card?,7,Referral purchase step requirements,0.0
How to complete 'Add Money' step,7,Referral purchase step requirements,0.9122
"My friend added money, but I still didn’t get the reward",7,Referral purchase step requirements,1.0
My friend hasn’t received the card. Will I get my reward?,7,Referral purchase step requirements,0.5658
"My friend made 3 purchases, but I didn’t get the reward",7,Referral purchase step requirements,0.9171
"My friend ordered a card, but I didn’t get the reward. Why?",22,Ordering new cards,0.0
What are the requirements for 3 purchases?,7,Referral purchase step requirements,0.7143
What are the requirements to get a Referrals reward?,7,Referral purchase step requirements,0.7557
Why did I receive a smaller reward for a Referral than you advertised in the app?,7,Referral purchase step requirements,0.8062
What is Airline Miles?,12,RevPoints loyalty program,0.8811
Linking your airline loyalty account,12,RevPoints loyalty program,0.8799
Redeeming RevPoints with Airline Miles,12,RevPoints loyalty program,1.0
Difficulty using Airline Miles,12,RevPoints loyalty program,0.84
