title,keywords
Savings Challenge,"savings challenge, revolut app, month prize, week means, aer ultra"
Instant Access Savings promotion,"revolut savings, promotion instant, account period, 2026 expiry, aer variable"
Tax on Savings,"savings revolut, withhold tax, income earned, adviser questions, app statement"
How are the funds in my Savings accounts protected?,"revolut safeguard, savings vaults, clearbank gbp, accounts deposits, fscs limit"
Why was my Savings Accounts restricted or closed?,"closed savings, account restricted, revolut com, deposits withdrawals, 30 days"
Add money to your savings account,"recurring deposits, revolut currency, set savings, add money, tap save"
Close my Savings account,"close savings, revolut mobile, account handling, balance immediately, moved current"
Withdraw from your Savings account,"withdraw savings, revolut mobile, currency account, balance tap, transfer screen"
Documents and statements for my Savings accounts,"account documents, savings tap, statement closed, cs app, choose timeframe"
Cover for cancelled and interrupted trips,"insurance trip, cancellation metal, refundable costs, ultra plan, revolut com"
Do I have to pay for my trip using my Revolut account?,"using revolut, covered trip, transfers airport, faqentrypoint, remain active"
Claiming after Premium travel insurance removal,"chubbtravel revoluttravelclaims, travel insurance, insurance removal, premium plan, cut date"
Does moving home impact my travel insurance?,"insurance travel, address revolut, change country, primary residence, does moving"
Travel insurance coverage,"travel covered, chubb revolut, ultra plan, insurance tap, 90 days"
Travel insurance for areas affected by conflict,"revoluttravelinsurance chubb, conflict area, emergencies abroad, cancellation fcdo, cover doesn"
Close a Pocket,"close pocket, balance close, revolut app, pocket money, unlink cards"
How do I manage a Group Pocket?,"group pocket, revolut account, management permissions, spare change, tap add"
Adding money to Pockets,"revolut app, spare change, recurring transfer, group pockets, multiplier tap"
Withdrawing from Pockets,"pockets withdraw, tap withdraw, pocket app, accounts choose, app admin"
Spare change round ups,"spare change, round transactions, revpoints rounding, revolut fees, currency pln"
I can't find my Vaults,"vaults revolut, revolut app, savings account, pockets faqs, change risk"
How to link a card to a Pocket and manage it,"pocket linked, unlink card, cards linked, card scroll, select cash"
Getting started with Pockets,"personal pockets, tap accounts, short term, tools create, instructions types"
What if I don't have enough money in my bills Pocket?,"pocket transaction, hours payment, fail direct, subscriptions add, doesn charge"
What is Revolut Pay?,"payments revolut, earn revpoints, button confirming, app person, safely meaning"
How to withdraw cash from an ATM,"withdrawal atm, revolut com, virtual card, fees limits, learn faq"
Fees for cash withdrawals,"withdrawal fees, revolut com, atm unsure, currency exchange, limit upgrading"
My card payment is pending,"payment pending, reversal date, app revolut, blocked funds, days merchant"
How to disable RevPoints spare change?,"revpoints spare, using revolut, change disable, coffee gbp, air miles"
Why did my payment amount change?,"payment change, cost uber, merchants things, updates usually, addition tip"
Fees for card payments in a foreign currency,"exchange fees, spend withdraw, weekends check, standard 000, premium metal"
Setting a monthly spending limit,"spending limit, setting monthly, card payments, declined card, merchant registered"
How do regulatory limits affect my usage?,"payments contactless, need confirm, directive psd, transaction reset, regulatory limits"
Am I eligible for Apple Pay?,"countries apple, pay country, apple pay, revolut cards, eligibility"
Am I eligible for Google Pay?,"pay country, countries google, stores eligibility, compatible google, slovenia spain"
Payment limits when using Apple Pay or Google Pay,"limit revolut, apple pay, merchants contactless, payments based, monthly spending"
Decline reasons on Apple Pay and Google Pay,"declined card, card apple, google pay, reasons apple, frozen app"
Setting up Apple Pay,"apple pay, setting apple, redirected revolut, tap confirm, verification method"
Setting up Google Pay,"revolut app, google pay, setting google, card isn, verification method"
Where can I pay with Apple Pay or Google Pay?,"apple pay, pay online, payment terminal, online offline, supports contactless"
How do I block and unblock a merchant?,"unblock merchant, revolut app, previous payment, transactionsrevolut, apple subscriptionshttps"
What currencies are supported for spending?,"supported currencies, use revolut, withdrawals mastercard, nzd omr, aed afn"
Card payment fees and limits,"using revolut, fees limits, currency charge, payments withdrawals, card weekly"
Card verification and pre-authorisation,"card verification, pre authorisation, revolut com, reversal date, pay apple"
What is Dynamic Currency Conversion (DCC)?,"atm currency, revolut com, charged different, conversion dcc, thailand choose"
Which merchants are not supported by Revolut?,"merchant category, supported revolut, fee age, payments withdrawals, exchange foreign"
What is a virtual card?,"virtual card, payments apple, revolut, regenerates use, getting declined"
My virtual card is not working,"virtual card, refunds revolut, contactless allowed, asks pin, hours single"
Problems with my card PIN,"pin atm, revolut mobile, unblock card, code digit, cvv use"
Why was my card payment declined if I have enough funds?,"payment declined, app revolut, currency card, merchant subscription, low balance"
What is 3D Secure?,"secure 3ds, authorisation revolut, merchant trusted, push notification, aren"
Delayed (offline) card payments,"delayed transaction, app revolut, duplicate charges, offline card, causes balance"
Where can I use my Revolut card?,"use revolut, card country, declined countries, belarus crimea, zimbabwe spending"
Am I eligible for Click to Pay?,"click pay, supported countries, eligible, disposable cards, 18 years"
How do I add cards to Click to Pay?,"card click, pay revolut, tap add, linked wallets, settings security"
How can I remove my card from Click to Pay?,"remove card, click pay, linked wallets, card wallet, remove linked"
What is Click to Pay?,"click pay, method payment, merchants benefits, supported mastercard, online stores"
Why is my card added to Click to Pay not shown at checkout?,"card revolut, merchant checkout, pay added, linked click, email mobile"
Declined card payment isn't visible,"declined card, payments troubleshooting, visible transactions, card damage, revolut com"
My card payment was declined by the security system,"frozen card, payment declined, merchant retry, revolut app, security transaction"
What is the location-based security feature?,"location based, feature revolut, based security, settings security, card stolen"
My card payment was declined,"declined payment, app revolut, payment visible, card damage, merchant technical"
Why has my card payment been reverted?,"reverted payment, transaction state, means merchant, app delayed, didn claim"
Report a card payment as a scam or fraud,"report payment, fraudulent tap, app revolut, card terminated, does chargeback"
Card security settings,"revolut card, limit contactless, security settings, block cash, payments reset"
Freeze a card,"freeze revolut, unfreeze card, merchant help, lost card, prevents unauthorised"
How to cancel a dispute,"dispute cancel, dispute tracker, revolut com, transactionsrevolut app, merchant check"
Dispute a card payment,"dispute card, revolut app, refunds wrong, merchant faster, payment contact"
Dispute process and timelines,"dispute process, chargeback, revolut com, mastercard transactions, 45 days"
Update on my chargeback case,"dispute revolut, chargeback timeframes, case update, wait outcome, app check"
Problems with a refund,"refund waiting, revolut card, closed account, merchant processing, funds means"
Revolut Chrome Extension,"revolut chrome, revolut shopper, shopper create, virtual card, extension installed"
How to withdraw a foreign currency,"currency withdraw, local atm, revolut cards, supports visa, use physical"
Limits for using my card abroad,"exchanges limits, withdrawing withdraw, card abroad, 000 currency, hour period"
Tips for spending in a foreign currency,"exchange fees, revolut local, currency account, spending abroad, allowance make"
What currency will I be charged in?,"currency paying, revolut determines, balances order, declined transactions, faq make"
Manage subscription payments to merchants,"merchant subscription, blocking subscription, app revolut, payments cancel, tap unblock"
Report a fraudulent ATM withdrawal,"fraudulent atm, revolut app, withdrawal don, report payment, freeze tap"
When does my ATM withdrawal limit reset?,"withdrawal limits, limit resets, does atm, reset date, rolling monthly"
Why is my ATM withdrawal pending?,"withdrawal pending, revolut app, reversal date, atm, transactionsrevolut"
Why was my ATM withdrawal declined?,"declined withdrawal, app revolut, atm, reverted means, faqentrypoint question"
Activate a physical card,"activate revolut, card activation, physical card, physical revolut, security contactless"
Reactivate a card,"card reactivate, terminated revolut, apple pay, frozen blocked, 30 days"
I can't add my card to Apple Pay,"apple pay, verified cards, revolut security, merchant refund, number different"
My card was stolen. What should I do?,"card lost, revolut app, paying apple, tap replace, kids teens"
The name on my card is incorrect,"revolut cards, shortened initial, card incorrect, names removed, proceed change"
Why is my Apple Pay card number different from my Revolut's?,"revolut card, number apple, apple pay, payment terminal, security reasons"
My card has been swallowed by an ATM,"card swallowed, card atms, transactionsrevolut app, reversal status, tap freeze"
Why aren’t my contactless payments working?,"contactless payments, revolut com, card damaged, resetting limit, doesn work"
My single-use virtual card isn't working,"virtual card, single use, refunds revolut, different verification, asks pin"
My physical card isn't working,"card revolut, failed transaction, paying apple, damaged physical, troubleshooting tips"
What should I do if my card is expiring soon?,"card expiring, revolut mobile, shipping replace, date replace, 28 days"
Can I cancel or edit a card order?,"cancel order, revolut mobile, card order, edit card, address tap"
Can I choose between Mastercard and Visa?,"brand mastercard, physical cards, revolut app, choose virtual, visa order"
Maximum active cards,"active cards, card limit, account virtual, maximum, expiration month"
What are the fees for ordering a card?,"card fees, ordering card, standard plus, metal gbp, delivery customisation"
Creating a virtual card,"virtual card, revolut mobile, instantly create, brand app, debit joint"
I ordered a card and it didn't arrive,"ordered card, number tracking, days process, missing apartment, metal ultra"
Card customisation,"card customisation, revolut com, prohibited rejected, app ordered, apple wallet"
How does the Clear Sky debit card support Ukraine?,"sky debit, card revolut, unhcr aims, support ukraine, does clear"
Order a physical card,"ordering card, mastercard changed, revolut app, premium metal, fees standard"
How do I get the Clear Sky debit card?,"sky card, ordered revolut, donation clear, ukraine, uk unhcr"
What is a special edition card?,"card special, edition cards, special edition, available limited, version app"
What card brands and types can I get?,"maestro cards, brands types, offer visa, unionpay paypal, cirrus discover"
Finding the card PIN,"pin revolut, card pin, pin virtual, finding card, settings tap"
Linking an existing card,"card linking, revolut account, existing card, tap add, entity swiss"
Can I order my card to a different address?,"card revolut, order card, address physical, country delivery, delivered different"
How do I use a Revolut virtual card?,"virtual card, use revolut, wallet faq, paying apple, single use"
I received a card that I had marked as undelivered,"card undelivered, use card, replacement physical, revolut com, destroy original"
I found my lost card,"card reactivate, revolut card, lost card, contacting app, lost"
My card has been used fraudulently,"payments revolut, stolen card, payment fraudulent, claim replace, temporarily freeze"
Glossary of onboarding terms,"restricted investor, high net, uk income, glossary onboarding, assets purpose"
Manage scheduled transfers,"scheduled transfers, revolut app, transactionsrevolut, delete scheduled, pause deactivate"
More help with a scheduled transfer,"transfer cancel, app revolut, tap transfer, scheduled payments, date track"
Schedule a transfer,"scheduled transfers, app revolut, frequency fees, payments tab, recipient tap"
Cash withdrawal limits and fees,"revolut fees, withdrawal limits, metal ultra, exchanges weekend, convert time"
Getting started with Pet Insurance,"revolut pet, pet insurance, benefits including, vets complementary, act 1991https"
How do I make a protection insurance claim?,"claim qover, protection refund, claim file, revolut app, purchase insurance"
What's the excess for purchase insurance claims?,"claims excess, revolut purchase, purchase insurance, return protection, qover com"
Submitting documents for a purchase insurance claim,"qover documents, purchase insurance, protection event, revolut app, invoice damaged"
Is my mobile device covered by Revolut purchase protection?,"covered revolut, purchase protection, contact qover, incident mobile, month period"
Getting started with purchase insurance,"insurance revolut, purchase protection, does refund, disruptions items, metal ultra"
What's not covered under purchase insurance?,"covered purchase, qover revolut, insurance doesn, incidents read, exclusions explained"
What items are eligible for purchase insurance?,"insurance purchase, revolut qover, account examples, items excluded, precious coins"
Getting an update on an everyday protection claim,"claim qover, claims contact, revolut doesn, everyday protection, contact details"
Who provides Revolut's everyday protection insurance?,"revolut insurer, qover com, everyday protection, chubb european, purchase refund"
Purchase protection coverage,"purchase protection, revolut qover, eligible claim, coverage cost, metal ultra"
Refund protection coverage,"refund protection, revolut qover, maximum coverage, belgium eligibility, 90 days"
Event ticket cancellation protection coverage,"cancellation protection, reimbursed event, revolut qover, insurance trip, tickets ultra"
Getting started with travel insurance,"insurance travel, using revolut, included benefit, automatically activated, metal ultra"
What is the excess for travel insurance claims?,"claims excess, revolut travel, depending benefit, example overseas, chubb"
Trips covered by travel insurance,"insurance trip, revolut metal, ultra plan, maximum durations, chubb read"
Why is my travel insurance coverage ending?,"insurance age, revolut travel, coverage ending, chubb claims, limit 76"
Submitting documents for a travel insurance claim,"chubbtravel revoluttravelclaims, medical documents, documents chubb, insurance claim, confirmation airlines"
How can I view my travel insurance policy documents?,"revolut app, travel insurance, policy documents, insurance tap, screen search"
How do I get an update on my existing claim?,"chubbtravel revoluttravelclaims, existing claim, revolut app, chubb contact, contact provider"
How do I make a travel insurance claim?,"chubbtravel revoluttravelclaims, insurance claim, helpline open, emergencies abroad, sedgwick com"
Emergency medical assistance abroad,"chubb assistance, abroad illness, insurance number, emergency medical, revolut com"
Cover for car hire excess,"rented car, excess insurance, coverage revolut, metal ultra, eligibility criteria"
Cover for delayed trips,"revolut travel, cover delayed, ultra plan, time expenses, contact chubb"
"Cover for damaged, lost, or delayed baggage","delayed baggage, travel insurance, chubb revolut, cover damaged, covered maximum"
Cover for medical expenses abroad,"overseas cover, travel medical, chubb revolut, medical expenses, emergency dental"
Cover for sports and activities,"insured travelling, cover sports, revolut chubb, activities canoeing, bike uk"
Who is covered by travel insurance?,"covered travel, revolut account, eligibility requirements, 18 years, metal ultra"
Who is Revolut's travel insurance provider?,"revolut travel, insurance metal, ultra customers, chubb, european group"
How do I cancel my Pet Insurance policy?,"cancel pet, pet insurance, insurance app, policy confirm, tap plan"
How to make a Pet Insurance claim,"email petclaims, revolut app, assessed insurance, time needed, davies group"
Pet Insurance payments and renewals,"renewals pet, insurance payments, revolut app, month cover, change plan"
How do I complain about my pet insurance?,"contact revolut, financial ombudsman, using complaints, pet insurance, org uk"
How can I view or manage my Revolut Pet Insurance policy?,"revolut pet, policy cancel, insurance select, view manage, payments claim"
Free 24/7 FirstVet Video Consultations,"firstvet revolut, firstvet video, video consultations, speak vet, pet sick"
Who are Revolut Pet Insurance?,"revolut pet, based london, tis registered, insurance distribution, conduct authority"
What are the main pet insurance policy conditions I should be aware of?,"pet insurer, policy conditions, microchipped breeds, akita akita, prohibited type"
Can I cancel an Airport Fast Track pass? ,"cancel pass, cancellations refunds, fast track, lane booked, revolut app"
How do I purchase an Airport Fast Track pass?,"buying passes, revolut app, pass revpoints, fast track, companions airport"
How do I use my airport fast track pass?,"track pass, airport fast, revolut app, revpoints menu, qr codes"
Reasons you can trust Revolut,"revolut legitimate, bank uk, authority fca, countries use, checks biometrics"
Can I contact Revolut using a Power of Attorney?,"donor poa, contact revolut, access account, citizens advice, obtain power"
Media enquiries,"media enquiries, revolut com, enquiries write, media revolut, write"
Revolut Business,"revolut business, manage finances, close account, virtual cards, fast settlement"
Work at Revolut,"work revolut, fintech companies, careers, passionate culture, time hobby"
Difference between limited and full access to the web app,"access revolut, freezing card, difference limited, web app, transactional features"
Does Revolut offer services in Russia?,"does revolut, services russia, ukraine response, international regulatory, currently"
Reporting vulnerable circumstances to Revolut,"vulnerable circumstances, impairment financial, revolut com, finances interactions, alcoholism gambling"
How do I share feedback with Revolut?,"feedback revolut, share feedback, suggestion email, contact share, products tailored"
I lost access to a device my passkey is stored on,"passkey stored, revoke passkey, device lose, account revoke, browser cloud"
How can I file a complaint?,"complaint formalcomplaints, revolut customer, report fraud, app form, faq faqentrypoint"
Learn about my rights when making payments in Europe,"payments europe, leaflet rights, rights payments, commission produced, lithuanian languages"
Public Figure Check - More Information,"public figure, sibling law, step parents, governing bodies, function international"
What is my tax residence?,"tax residence, status country, country oecd, work criteria, crs implementation"
What happens if the Revolut account holder passes away?,"revolut_en__bereavement_form, happens revolut, death certificates, account closure, registrar depending"
Which Revolut companies provide me with services?,"revolut services, insurance provided, customer privacy, data controller, qover sa"
How can I improve my financial health?,"financial health, improve money, debt testhttps, www stepchange, check practical"
How can I share sensitive information with Revolut?,"revolut understand, sharing circumstances, confidential vulnerability, affecting finances, 252fwhat gambling"
Support if you are experiencing financial difficulties,"advice servicehttps, financial difficulties, moneyhelper org, support groups, charities organisations"
What gambling support is available?,"gambling helpline, test gamcare, organisations support, contact adictel, worried spend"
Where can I get help and advice on financial abuse?,"abuse helpline, financial abuse, men advice, support portugal, financial domestic"
Where can I get help if I'm worried about my mental health?,"health helplines, advice support, uk mental, help worried, samaritans org"
When will Revolut credit be available in my country?,"revolut credit, countries credit, available country, loans australia, apply personal"
What is Revolut Pro and is it free?,"revolut pro, cashback business, self employed, transaction fees, partnerships benefits"
Cancel a transaction on the Revolut Terminal,"cancel transaction, transaction revolut, revolut terminal, tap refund, terminal cancel"
Cards and contactless payments with Revolut Terminals,"payments revolut, revolut terminals, accept mastercard, terminal approved, aud cad"
Failed payments on the Revolut Terminal,"failed payments, revolut terminal, limit pin, troubleshooting ask, reasons common"
How do I order a Revolut Terminal?,"revolut terminal, order terminal, purchase device, account faq, colour tap"
How do I log in to my Revolut Terminal?,"revolut terminal, account steps, location entering, pin code, create security"
eSIM on Revolut Terminals,"esim revolut, connectivity esim, mobile data, updates activate, terminal connected"
I'm having trouble using my Revolut Terminal,"revolut terminal, trouble using, payments advise, active connection, terminal reasons"
Sales using a Revolut Pro product catalogue,"catalogue revolut, product create, sales using, manage tax, editing payment"
Edit the time on my Revolut Terminal,"change time, time revolut, revolut terminal, terminal change, display formats"
Warranty on Revolut Terminals,"warranty revolut, revolut terminals, refund cost, device period, terminal lite"
What are Revolut Terminals?,"revolut terminals, apple pay, physical card, visa maestro, esim types"
When will I receive my Revolut Terminal?,"revolut terminal, terminal shipped, delivery updates, business day, pro account"
Failed payment on Tap to Pay on iPhone,"tap pay, accepting contactless, revolut business, bank refused, iphone performance"
Can I accept payments with Revolut Pro?,"payments revolut, pay iphone, accept types, pro selling, iphone physical"
How much does it cost to accept payments with Revolut Pro?,"payments revolut, chargeback fees, processing fee, legal pro, sale rate"
What are Payment Links and how do I use them?,"payment links, revolut com, fees creating, personal visa, channel email"
When do payments arrive in my Pro account?,"settlement time, payments arrive, revolut com, pro payment, account waiting"
Install the Shopify plugin for Revolut Pro,"install shopify, plugin revolut, revolut payment, authorise integration, app pro"
Revolut Pro invoices,"refund invoice, revolut app, cancel payment, payment requests, expired action"
Warranty on the Revolut Reader,"warranty revolut, revolut reader, return device, 30 days, reader"
What is Revolut Reader and how do I use it?,"revolut reader, contactless payments, fee transaction, instructions read, pro use"
Using Tap to Pay on iPhone to take payments,"iphone payments, revolut com, select tap, mastercard visa, contactless symbol"
Why should I accept payments with Revolut Pro?,"payments revolut, payment tools, pro account, iphone shopify, tools choose"
How do I add funds to my Pro account?,"revolut pro, add funds, payment method, time transfer, method tap"
How to close a Revolut Pro account,"close revolut, closing account, pro account, send remaining, cashback sales"
Difference between Revolut Pro and Revolut Business,"difference revolut, pro account, solutions cashflow, features businesses, approval workflows"
How to set up Direct Debits in Pro,"direct debits, revolut pro, pro direct, account details, balance cover"
What features are available with Revolut Pro?,"revolut pro, earning cashback, work account, separate iban, payments settle"
How do I move money out of my Revolut Pro account?,"revolut app, pay transfer, external account, money personal, pro tap"
Order a Revolut Pro card,"revolut pro, tap card, liechtenstein luxembourg, eea excluding, geo redirect"
How does Revolut Pro cashback work and how can I boost it?,"boost cashback, does revolut, monthly revenue, rate revert, using pro"
Pro account under review or payments not working,"pro account, payments working, proof business, review progress, restrictions"
How can I redeem my Pro Perks offers?,"redeem pro, perks offers, active revolut, activate review, section select"
What is Pro Perks?,"pro perks, hub revolut, curated discounts, essential, account access"
What are Pro Pockets?,"pro pockets, tax pocket, revolut pro, money vat, sub accounts"
Why was my document not accepted for Revolut Pro?,"document accepted, revolut pro, professional qualification, activity business, geolink google"
Why was my URL not accepted for Revolut Pro?,"url accepted, revolut requires, account activation, linked business, profile mobile"
Where can I find my Revolut Pro account in-app?,"revolut app, account app, pro account, menu tap, generate statements"
Who can use Revolut Pro and how do I get started?,"revolut pro, registration business, ventures use, freelancers hustlers, small solo"
Accessing the Retail Web App,"revolut passcode, push access, account limited, factor 2fa, retail web"
What features are supported on the Web App?,"revolut retail, account details, freezing cards, web app, features limited"
Security and data privacy,"revolut customer, uab separate, data privacy, national id, migration local"
How do I close my account?,"revolut¹ close, close account, account app, balance zero, plan fees"
Getting started with AIR,"use revolut, air ai, subscriptions exploring, helps understand, rita disclaimer"
Getting started with Revolut,"revolut eligibility, account cost, verifying identity, trading crypto, kids teens"
How to contact Revolut Support,"revolut support, app calls, ultra chat, tap metal, lost device"
Joint account card payments,"joint account, revolut app, withdraw account, card use, plan limits"
Managing joint account ownership,"joint account, revolut com, holder unable, decisions relation, passes away"
I want to close my Joint account,"account close, joint account, revolut app, deactivate cards, holders withdraw"
Your Joint account statement,"joint account, account statements, statement download, tap generate, decide close"
Adding money to a Joint account,"revolut account, adding money, joint account, details app, revert making"
Setting up a Joint account,"joint account, revolut com, requirements opening, bank uab, revpoints faqs"
Joint account transfers,"transfers revolut, joint account, send bank, receive salary, app payments"
Order a Joint account card,"card revolut, joint account, needs order, tap physical, cost ultra"
Getting started with Joint Savings,"revolut savings, joint account, gbp joint, tap add, getting started"
