title,topic_1,label_1,topic_2,label_2,p1,p2,margin
My card has been swallowed by an ATM,62,Report fraudulent transactions,44,Replace reactivate or fix cards,0.249,0.143,0.106
Transferring funds to an external card,7,Adding money via bank transfer,42,Currency accounts and exchange rates,0.249,0.142,0.107
Supported currencies for holding,4,Supported currencies and cards,42,Currency accounts and exchange rates,0.403,0.295,0.109
How to close a Revolut Pro account,48,Revolut Pro account features,22,Joint account management,0.32,0.21,0.11
Buying a corporate bond vs buying stock in the same company,55,Bond investment basics,31,Stock investing fundamentals,0.44,0.329,0.111
Joint account transfers,22,Joint account management,7,Adding money via bank transfer,0.344,0.233,0.111
Adding money to Pockets,27,Group Pockets,59,Spare change round ups,0.346,0.233,0.113
Documents and statements for my Savings accounts,16,Download account statements,39,Instant Access Savings Interest Rates,0.311,0.198,0.114
I can't find my Vaults,27,Group Pockets,39,Instant Access Savings Interest Rates,0.343,0.229,0.114
How to complete all steps for Referrals reward,2,Referral purchase requirements,13,Ordering a physical card,0.281,0.166,0.115
Taxes on crypto,3,Crypto account setup and security,17,Tax and national identification,0.342,0.226,0.116
Who provides Revolut's crypto services?,54,Revolut service providers and regulation,3,Crypto account setup and security,0.354,0.238,0.116
What if I don't have enough money in my bills Pocket?,27,Group Pockets,38,Pending and delayed card payments,0.245,0.127,0.118
What is a trading halt?,0,Trading order types,31,Stock investing fundamentals,0.363,0.244,0.119
What currency account details are available for me?,7,Adding money via bank transfer,42,Currency accounts and exchange rates,0.273,0.153,0.12
Which merchants are not supported by Revolut?,68,Blocking and unblocking payments,18,18_limits_withdrawal_atm_fees,0.247,0.126,0.121
I sent crypto to an incorrect wallet address. What can I do?,8,Crypto deposit troubleshooting,50,Crypto card payments and Ramp,0.538,0.416,0.122
Revolut Ramp supported currencies and limits,3,Crypto account setup and security,18,18_limits_withdrawal_atm_fees,0.301,0.177,0.124
Do I own my stocks?,31,Stock investing fundamentals,49,Stocks and Shares ISA rules,0.421,0.297,0.124
How to transfer funds to Revolut,7,Adding money via bank transfer,19,Transfer status and tracking,0.362,0.236,0.126
Which Revolut companies provide me with services?,54,Revolut service providers and regulation,63,Personal data privacy and retention,0.301,0.173,0.128
Cancel for any reason complaints,15,Purchase insurance coverage,25,Pet insurance policy management,0.28,0.151,0.129
Am I eligible for Google Pay?,4,Supported currencies and cards,60,60_deposit_card_pay_topup,0.294,0.16,0.134
How to make a Pet Insurance claim,25,Pet insurance policy management,15,Purchase insurance coverage,0.36,0.226,0.134
How much does it cost to accept payments with Revolut Pro?,12,Accepting payments with Revolut,48,Revolut Pro account features,0.312,0.178,0.135
How to disable RevPoints spare change?,9,RevPoints earning and redemption,59,Spare change round ups,0.538,0.404,0.135
Report a fraudulent transfer,62,Report fraudulent transactions,70,Reporting fraud and suspicious activity,0.299,0.163,0.136
Does Revolut offer services in Russia?,4,Supported currencies and cards,29,Reporting vulnerable circumstances,0.361,0.223,0.138
Can I transfer my account from another broker?,19,Transfer status and tracking,0,Trading order types,0.291,0.153,0.138
I want to cancel a bank transfer,23,Canceling transfers and payment links,19,Transfer status and tracking,0.339,0.199,0.139
Managing a mobile plan for a lost or stolen device,5,Lost phone number login,26,eSIM data plan management,0.335,0.194,0.141
American depositary receipts (ADRs) and pass-through fees,32,Trading fees and allowances,31,Stock investing fundamentals,0.322,0.179,0.143
What are Revolut's trading fees?,32,Trading fees and allowances,0,Trading order types,0.283,0.139,0.143
Warranty on the Revolut Reader,12,Accepting payments with Revolut,30,Device software and security updates,0.356,0.209,0.146
Why was the transfer to my account reverted?,19,Transfer status and tracking,7,Adding money via bank transfer,0.35,0.203,0.148
What is Dynamic Currency Conversion (DCC)?,18,18_limits_withdrawal_atm_fees,42,Currency accounts and exchange rates,0.347,0.199,0.148
Add money in one tap,7,Adding money via bank transfer,60,60_deposit_card_pay_topup,0.299,0.151,0.148
Start with Revolut Ramp,50,Crypto card payments and Ramp,3,Crypto account setup and security,0.376,0.227,0.149
Tax on Savings,17,Tax and national identification,16,Download account statements,0.36,0.21,0.151
Event ticket cancellation protection coverage,14,Cancel for any reason protection,15,Purchase insurance coverage,0.426,0.275,0.151
Your Joint account statement,22,Joint account management,16,Download account statements,0.344,0.192,0.152
How do regulatory limits affect my usage?,33,Apple Pay and Card Security,68,Blocking and unblocking payments,0.299,0.146,0.153
More help with a scheduled transfer,46,Scheduled transfers and custom categories,19,Transfer status and tracking,0.38,0.226,0.154
Finding your gift cards,9,RevPoints earning and redemption,40,Gifting paid plans to friends,0.486,0.331,0.156
Revolut X fees,18,18_limits_withdrawal_atm_fees,42,Currency accounts and exchange rates,0.322,0.166,0.156
Why aren’t my contactless payments working?,44,Replace reactivate or fix cards,33,Apple Pay and Card Security,0.317,0.159,0.158
Why was my Savings Accounts restricted or closed?,61,Closed restricted or deceased accounts,39,Instant Access Savings Interest Rates,0.316,0.156,0.16
Cancel a transaction on the Revolut Terminal,23,Canceling transfers and payment links,67,Dispute and refund status,0.407,0.246,0.16
How to redeem RevPoints for gift cards,9,RevPoints earning and redemption,40,Gifting paid plans to friends,0.511,0.35,0.161
Next payment date for your paid plan,37,Plan billing and payments,40,Gifting paid plans to friends,0.38,0.219,0.161
My physical card isn't working,44,Replace reactivate or fix cards,33,Apple Pay and Card Security,0.325,0.162,0.162
Crypto withdrawal fees,18,18_limits_withdrawal_atm_fees,8,Crypto deposit troubleshooting,0.424,0.262,0.162
What are non-tradable securities?,22,Joint account management,0,Trading order types,0.324,0.162,0.162
How do I get an update on my existing claim?,15,Purchase insurance coverage,14,Cancel for any reason protection,0.447,0.284,0.163
Crypto collections,3,Crypto account setup and security,18,18_limits_withdrawal_atm_fees,0.282,0.118,0.165
Am I eligible for Click to Pay?,35,Managing Click to Pay cards,4,Supported currencies and cards,0.583,0.417,0.166
Requesting money with a payment link,12,Accepting payments with Revolut,7,Adding money via bank transfer,0.268,0.103,0.166
What are passkeys?,5,Lost phone number login,60,60_deposit_card_pay_topup,0.324,0.154,0.17
Stock delisting,31,Stock investing fundamentals,0,Trading order types,0.396,0.227,0.17
What is Revolut Reader and how do I use it?,12,Accepting payments with Revolut,48,Revolut Pro account features,0.372,0.201,0.171
How do I link an external account to Revolut?,7,Adding money via bank transfer,66,Card top-up restrictions,0.278,0.107,0.171
I lost access to a device my passkey is stored on,5,Lost phone number login,30,Device software and security updates,0.402,0.231,0.171
How to make cash deposits,60,60_deposit_card_pay_topup,66,Card top-up restrictions,0.3,0.129,0.171
Why has my card transfer failed or been declined?,19,Transfer status and tracking,23,Canceling transfers and payment links,0.403,0.231,0.172
Freeze a card,62,Report fraudulent transactions,68,Blocking and unblocking payments,0.33,0.157,0.173
Close my investment account,22,Joint account management,61,Closed restricted or deceased accounts,0.359,0.185,0.174
Duplicate account,5,Lost phone number login,22,Joint account management,0.32,0.146,0.174
How do I exchange money?,42,Currency accounts and exchange rates,7,Adding money via bank transfer,0.324,0.147,0.177
Overview of Revolut Trading Ltd's omnibus account ,20,FSCS protection for accounts,54,Revolut service providers and regulation,0.419,0.242,0.177
How does Bulgaria adopting the Euro affect me?,39,Instant Access Savings Interest Rates,42,Currency accounts and exchange rates,0.298,0.119,0.178
What will happen to my account when it’s moved?,20,FSCS protection for accounts,28,Moving accounts to Revolut Bank,0.4,0.223,0.178
Pay for your missed plan payment,37,Plan billing and payments,57,Downgrading paid plans,0.377,0.199,0.178
What are Revolut Terminals?,12,Accepting payments with Revolut,33,Apple Pay and Card Security,0.321,0.142,0.179
Decline reasons on Apple Pay and Google Pay,60,60_deposit_card_pay_topup,44,Replace reactivate or fix cards,0.309,0.129,0.18
Card security settings,33,Apple Pay and Card Security,44,Replace reactivate or fix cards,0.296,0.115,0.181
Cards and contactless payments with Revolut Terminals,12,Accepting payments with Revolut,4,Supported currencies and cards,0.351,0.168,0.183
Fraud and cybercrime reporting to national authorities,70,Reporting fraud and suspicious activity,51,APP scam reimbursement,0.375,0.192,0.184
Add money with Apple Pay or Google Pay,60,60_deposit_card_pay_topup,66,Card top-up restrictions,0.289,0.105,0.184
Discounts for loyal customers,40,Gifting paid plans to friends,37,Plan billing and payments,0.463,0.278,0.185
How can I keep my account safe from fraud?,70,Reporting fraud and suspicious activity,62,Report fraudulent transactions,0.512,0.327,0.185
I sent a transfer to the wrong Revolut customer,23,Canceling transfers and payment links,45,Contacting support and complaints,0.412,0.226,0.185
"Crypto payment fees, rates, and limits",18,18_limits_withdrawal_atm_fees,50,Crypto card payments and Ramp,0.34,0.154,0.185
Will Revolut Bank have physical branches?,53,Account transition impact,28,Moving accounts to Revolut Bank,0.392,0.206,0.186
Setting up Apple Pay,33,Apple Pay and Card Security,60,60_deposit_card_pay_topup,0.322,0.136,0.186
Accessing your transaction history from your Revolut account,16,Download account statements,5,Lost phone number login,0.34,0.154,0.186
Why are you asking me for documents to open or continue using Revolut trading?,21,Identity and address verification,16,Download account statements,0.488,0.301,0.187
How do I make a cancel for any reason protection claim?,14,Cancel for any reason protection,15,Purchase insurance coverage,0.448,0.26,0.188
I was charged extra by my bank for a Ramp payment. Why?,50,Crypto card payments and Ramp,56,International transfer intermediary bank fees,0.354,0.166,0.188
What account details should I use for incoming transfers?,7,Adding money via bank transfer,56,International transfer intermediary bank fees,0.317,0.129,0.188
When will Revolut credit be available in my country?,4,Supported currencies and cards,69,Account settings and notifications,0.305,0.114,0.191
How does the Clear Sky debit card support Ukraine?,59,Spare change round ups,13,Ordering a physical card,0.381,0.189,0.192
My phone suddenly lost signal,24,Recognizing scam red flags,34,Mobile number transfers,0.353,0.16,0.193
How to add money with a card,60,60_deposit_card_pay_topup,66,Card top-up restrictions,0.352,0.157,0.194
View your crypto card payments,50,Crypto card payments and Ramp,3,Crypto account setup and security,0.32,0.126,0.194
How do I add funds to my Pro account?,48,Revolut Pro account features,7,Adding money via bank transfer,0.313,0.119,0.194
Maximum active cards,41,Virtual card usage and limits,13,Ordering a physical card,0.425,0.232,0.194
Will I get a full refund for my trip or event cancellation?,14,Cancel for any reason protection,15,Purchase insurance coverage,0.449,0.254,0.195
Who provides Ultra trip and event cancellation protection?,14,Cancel for any reason protection,15,Purchase insurance coverage,0.419,0.225,0.195
Your paid plan subscription end date,57,Downgrading paid plans,37,Plan billing and payments,0.399,0.202,0.196
My card payment was declined by the security system,68,Blocking and unblocking payments,58,Card payment declined,0.358,0.161,0.197
How are the funds in my Savings accounts protected?,20,FSCS protection for accounts,39,Instant Access Savings Interest Rates,0.435,0.237,0.197
Does the account transfer impact my plan insurance cover?,1,Revolut travel insurance coverage,27,Group Pockets,0.396,0.198,0.198
"Commodities prices, rates, and fees",47,Crypto trading fee tiers,42,Currency accounts and exchange rates,0.327,0.128,0.199
Fund my investment account,42,Currency accounts and exchange rates,18,18_limits_withdrawal_atm_fees,0.344,0.144,0.2
Receiving money to my Revolut card,7,Adding money via bank transfer,42,Currency accounts and exchange rates,0.329,0.128,0.201
Why did I receive less money?,56,International transfer intermediary bank fees,7,Adding money via bank transfer,0.409,0.207,0.202
What are Revolut's safety features?,65,Account security and fraud protection,54,Revolut service providers and regulation,0.315,0.112,0.202
Creating a virtual card,41,Virtual card usage and limits,13,Ordering a physical card,0.403,0.2,0.203
Submitting documents for a purchase insurance claim,15,Purchase insurance coverage,14,Cancel for any reason protection,0.462,0.258,0.204
Order a Joint account card,13,Ordering a physical card,22,Joint account management,0.404,0.199,0.205
Documents for a closed account ,5,Lost phone number login,16,Download account statements,0.371,0.165,0.206
Reporting vulnerable circumstances to Revolut,29,Reporting vulnerable circumstances,68,Blocking and unblocking payments,0.327,0.121,0.206
"Cover for damaged, lost, or delayed baggage",1,Revolut travel insurance coverage,15,Purchase insurance coverage,0.427,0.219,0.208
Why was I charged more than I was shown?,56,International transfer intermediary bank fees,50,Crypto card payments and Ramp,0.312,0.103,0.208
How to make sure crypto withdrawals are processed smoothly,8,Crypto deposit troubleshooting,22,Joint account management,0.333,0.125,0.208
Finding the card PIN,33,Apple Pay and Card Security,44,Replace reactivate or fix cards,0.392,0.184,0.209
Gifting a paid plan,40,Gifting paid plans to friends,37,Plan billing and payments,0.398,0.189,0.209
Difficulty adding money with an easy bank transfer,7,Adding money via bank transfer,60,60_deposit_card_pay_topup,0.358,0.148,0.21
Why did I receive less crypto than I paid for?,50,Crypto card payments and Ramp,3,Crypto account setup and security,0.377,0.166,0.211
Download a transfer confirmation,19,Transfer status and tracking,16,Download account statements,0.369,0.158,0.211
I received a transfer from an unknown sender,45,Contacting support and complaints,23,Canceling transfers and payment links,0.607,0.393,0.213
Buy and sell crypto,3,Crypto account setup and security,0,Trading order types,0.408,0.192,0.216
My transfer to or from someone on Revolut wasn't received,5,Lost phone number login,34,Mobile number transfers,0.365,0.147,0.218
What is the excess for travel insurance claims?,1,Revolut travel insurance coverage,15,Purchase insurance coverage,0.458,0.24,0.218
Can I receive my salary into my Revolut account?,7,Adding money via bank transfer,19,Transfer status and tracking,0.338,0.12,0.218
How to calculate interest on Savings accounts,39,Instant Access Savings Interest Rates,20,FSCS protection for accounts,0.508,0.289,0.219
Revolut Kids & Teens Payment Links,10,Kids and teens account management,12,Accepting payments with Revolut,0.455,0.235,0.22
Bank transfer fees,56,International transfer intermediary bank fees,7,Adding money via bank transfer,0.389,0.17,0.22
Who regulates Revolut Bank and where can I complain?,54,Revolut service providers and regulation,53,Account transition impact,0.384,0.162,0.222
Manage my external linked accounts in Revolut,43,Financial analytics dashboard,7,Adding money via bank transfer,0.331,0.108,0.223
Cover for delayed trips,1,Revolut travel insurance coverage,14,Cancel for any reason protection,0.432,0.209,0.223
How to add money for the Referrals reward,2,Referral purchase requirements,60,60_deposit_card_pay_topup,0.376,0.147,0.229
Can I keep my e-money account?,28,Moving accounts to Revolut Bank,22,Joint account management,0.406,0.177,0.229
Failed crypto deposits,8,Crypto deposit troubleshooting,60,60_deposit_card_pay_topup,0.423,0.193,0.23
Benefits and risks of trading crypto ETNs,11,Exchange Traded Products,3,Crypto account setup and security,0.429,0.198,0.231
Other crypto token information,50,Crypto card payments and Ramp,3,Crypto account setup and security,0.539,0.307,0.232
Crypto payments and how they work,50,Crypto card payments and Ramp,3,Crypto account setup and security,0.338,0.105,0.233
I received a card that I had marked as undelivered,44,Replace reactivate or fix cards,13,Ordering a physical card,0.386,0.153,0.233
Can I transfer money to or from Russia or Belarus?,4,Supported currencies and cards,7,Adding money via bank transfer,0.458,0.225,0.233
Revolut Kids & Teens Save,10,Kids and teens account management,27,Group Pockets,0.452,0.218,0.234
What are trading regulatory fees and taxes?,32,Trading fees and allowances,0,Trading order types,0.365,0.131,0.234
I can't add my card to Apple Pay,33,Apple Pay and Card Security,60,60_deposit_card_pay_topup,0.347,0.11,0.237
How to complete 'Add Money' step,2,Referral purchase requirements,60,60_deposit_card_pay_topup,0.34,0.103,0.237
Why didn't I get a bank account when I signed up?,20,FSCS protection for accounts,7,Adding money via bank transfer,0.459,0.221,0.238
Trips covered by travel insurance,1,Revolut travel insurance coverage,14,Cancel for any reason protection,0.464,0.226,0.238
Mobile plan allowance and consumption,26,eSIM data plan management,32,Trading fees and allowances,0.392,0.153,0.239
Mobile plan access and payment,37,Plan billing and payments,26,eSIM data plan management,0.395,0.155,0.24
Why was my outbound bank transfer reverted?,19,Transfer status and tracking,56,International transfer intermediary bank fees,0.419,0.178,0.241
Turo rewards,6,Accessing plan partner subscriptions,2,Referral purchase requirements,0.346,0.105,0.241
Managing your paid plan billing,37,Plan billing and payments,57,Downgrading paid plans,0.446,0.205,0.241
Cancelling your scheduled plan downgrade,57,Downgrading paid plans,37,Plan billing and payments,0.405,0.163,0.241
Switching languages in the app,42,Currency accounts and exchange rates,30,Device software and security updates,0.473,0.23,0.242
Card customisation,13,Ordering a physical card,44,Replace reactivate or fix cards,0.387,0.145,0.242
How can I see my spending and income analytics?,43,Financial analytics dashboard,64,Income Sorter,0.49,0.246,0.244
Activate a physical card,44,Replace reactivate or fix cards,13,Ordering a physical card,0.398,0.154,0.244
My beneficiary has not received my card transfer,19,Transfer status and tracking,23,Canceling transfers and payment links,0.456,0.212,0.244
Getting started with purchase insurance,15,Purchase insurance coverage,14,Cancel for any reason protection,0.418,0.174,0.244
Get started with crypto ETNs,11,Exchange Traded Products,20,FSCS protection for accounts,0.443,0.197,0.246
Documents for the source of funds verification,21,Identity and address verification,16,Download account statements,0.428,0.18,0.248
Strange small charges on your card?,70,Reporting fraud and suspicious activity,41,Virtual card usage and limits,0.393,0.144,0.249
Claiming special bonus offered by Revolut promotion,2,Referral purchase requirements,66,Card top-up restrictions,0.385,0.135,0.25
Crypto withdrawal limits,18,18_limits_withdrawal_atm_fees,8,Crypto deposit troubleshooting,0.53,0.277,0.253
More help with sending money via a payment link,23,Canceling transfers and payment links,12,Accepting payments with Revolut,0.414,0.161,0.253
What happens to my partner benefits if I change my plan?,57,Downgrading paid plans,6,Accessing plan partner subscriptions,0.504,0.25,0.254
Submitting documents for a travel insurance claim,1,Revolut travel insurance coverage,21,Identity and address verification,0.405,0.151,0.255
Currency exchange orders,0,Trading order types,42,Currency accounts and exchange rates,0.425,0.171,0.255
Linking an existing card,35,Managing Click to Pay cards,13,Ordering a physical card,0.384,0.127,0.256
Getting started with cancel for any reason protection,14,Cancel for any reason protection,15,Purchase insurance coverage,0.457,0.2,0.257
Is my crypto safe with Revolut?,3,Crypto account setup and security,65,Account security and fraud protection,0.439,0.182,0.257
Edit the time on my Revolut Terminal,30,Device software and security updates,5,Lost phone number login,0.547,0.29,0.257
An urgent call out of the blue?,24,Recognizing scam red flags,51,APP scam reimbursement,0.363,0.106,0.257
What is a trip?,14,Cancel for any reason protection,1,Revolut travel insurance coverage,0.455,0.197,0.258
What is Revolut ID?,5,Lost phone number login,21,Identity and address verification,0.51,0.251,0.258
