topic_id,size,name,keywords
20,12,20_fscs_protected_compensation_savings,"fscs, protected, compensation, savings, bank, scheme, scheme fscs, compensation scheme, money, 120000"
21,11,21_document_documents_identity_proof,"document, documents, identity, proof, accepted, upload, verification, selfie, photo, address"
22,11,22_joint_joint account_account_close,"joint, joint account, account, close, close account, accounts, closure, account holder, account close, account holders"
23,10,23_transfer_recipient_beneficiary_cancel,"transfer, recipient, beneficiary, cancel, payment link, recipients, sent, trusted, cancel transfer, recall"
24,10,24_phone_scammers_criminal_legitimate,"phone, scammers, criminal, legitimate, red, red flags, social media, flags, immediately, social"
25,10,25_pet_pet insurance_policy_insurance,"pet, pet insurance, policy, insurance, insurance policy, american, renewal, video, greek, cover"
26,10,26_esim_data_plan_esim data,"esim, data, plan, esim data, mobile, plans, sim, device, network, revolut esim"
27,9,27_pocket_pockets_group_group pocket,"pocket, pockets, group, group pocket, choose, choose pocket, admin, pocket tap, tap accounts, money"
28,9,28_moved_account moved_revolut bank_moved revolut,"moved, account moved, revolut bank, moved revolut, account, bank, close account, emoney, personal, personal account"
29,9,29_gambling_circumstances_vulnerable_support,"gambling, circumstances, vulnerable, support, form, health, advice, groups, financial, feel"
30,8,30_device_official_security_manufacturer,"device, official, security, manufacturer, devices, operating, updates, software, depending device, update"
31,8,31_stock_shares_company_share,"stock, shares, company, share, fractional, analysis, ratio, earnings, market, companys"
32,8,32_trading pro_commissionfree_trading_allowance,"trading pro, commissionfree, trading, allowance, fees, trades, fee, pro, commission, trial"
33,8,33_pin_apple_apple pay_card,"pin, apple, apple pay, card, security, contactless, pay, digits, settings, contactless payments"
34,7,34_number_transfer_provider_number transfer,"number, transfer, provider, number transfer, transfer number, mobile plan, mobile, plan, transfer revolut, previous provider"
35,7,35_click pay_click_wallets_linked,"click pay, click, wallets, linked, pay, email mobile, card, wallet, cards, mobile number"
36,7,36_pass_lounge_airport_passes,"pass, lounge, airport, passes, fast, fast track, airport lounge, track, lounges, lounge passes"
37,7,37_billing_plan_paid plan_plan payment,"billing, plan, paid plan, plan payment, paid, invoice, mobile plan, secondary, monthly, secondary number"
38,7,38_negative_transaction_payment_negative balance,"negative, transaction, payment, negative balance, balance, pending, delayed, merchant, reverted, card payment"
39,7,39_savings_rate_access savings_instant access,"savings, rate, access savings, instant access, instant, prize, savings account, challenge, aer, weeks"
40,7,40_gift_paid plan_plan_paid,"gift, paid plan, plan, paid, gifts, friend, premium plan, premium, annual, accept"
41,7,41_virtual_virtual card_singleuse_card,"virtual, virtual card, singleuse, card, cards, virtual cards, singleuse virtual, pay, card details, active"
42,7,42_currency_language_exchange_currency account,"currency, language, exchange, currency account, currencies, beneficiary, complete transaction, languages, choose currency, choose"
43,6,43_analytics_spending_custom_widget,"analytics, spending, custom, widget, income, asset, total wealth, total, insights, assets"
44,6,44_card_reactivate_replace_isnt working,"card, reactivate, replace, isnt working, cards, card isnt, replacement, cards icon, replace card, icon topright"
45,6,45_complaint_chat_support_voice,"complaint, chat, support, voice, inapp chat, feedback, resolution, advice, help, porting"
46,6,46_scheduled_category_scheduled transfer_transfer,"scheduled, category, scheduled transfer, transfer, categories, calendar icon, direct, custom, calendar, direct debit"
47,6,47_tier_pricing_volume_fee,"tier, pricing, volume, fee, tiered, fees, trade, trading, usage, commodities"
48,6,48_cashback_pro_business_revolut pro,"cashback, pro, business, revolut pro, sales, tools, monthly, acceptance, payment acceptance, revenue"
49,6,49_isa_stocks shares_shares isa_stocks,"isa, stocks shares, shares isa, stocks, shares, dividends, allowance, tax, invest, isa provider"
50,6,50_crypto_ramp_wallet_revolut ramp,"crypto, ramp, wallet, revolut ramp, crypto card, app crypto, crypto accounts, transaction, transactions, newly"
51,5,51_reimbursement_scam_payment_fraud,"reimbursement, scam, payment, fraud, authorised, push, assess, claim, caution, eligible"
52,5,52_plans_everyday_plan_month,"plans, everyday, plan, month, benefits, everyday protection, additional fees, protection insurance, sidebyside, compare plans"
53,5,53_products_revolut bank_provided revolut_transition,"products, revolut bank, provided revolut, transition, provided, account transition, changes, bank, bank uk, affected"
54,5,54_services_data_authority_uk,"services, data, authority, uk, bank uk, revolut, revolut revolut, financial conduct, conduct authority, services provided"
55,5,55_bonds_bond_coupon_maturity,"bonds, bond, coupon, maturity, issuer, risk, repaid, coupon payments, equities, price"
56,5,56_intermediary_fees_bank_fee,"intermediary, fees, bank, fee, international, transfer, charge, intermediary bank, upfront, intermediary banks"
57,5,57_downgrade_plan_paid plan_paid,"downgrade, plan, paid plan, paid, break, downgrade fees, 14 days, fee, 14, plan fee"
58,5,58_declined_payment declined_merchant_card,"declined, payment declined, merchant, card, card linked, declined transaction, try, payment, check card, check"
59,5,59_spare change_spare_donations_change,"spare change, spare, donations, change, donation, nearest, rounded, rounded nearest, donate, charity"
60,5,60_topup_deposit_topups_add,"topup, deposit, topups, add, card, pay, add money, pay google, google, apple"
61,5,61_closed_death_restricted_account,"closed, death, restricted, account, persons, email, reactivation, let know, information, account closed"
62,5,62_report_fraudulent_freeze_report fraudulent,"report, fraudulent, freeze, report fraudulent, atm, terminate, card, terminate card, atm withdrawal, transactions listhttpsapprevolutcomtransactionsrevolutapptransactionlist"
63,5,63_data_personal data_privacy_personal,"data, personal data, privacy, personal, ask, customer privacy, law, privacy noticehttpswwwrevolutcomprivacypolicy, noticehttpswwwrevolutcomprivacypolicy, information"
64,4,64_income_sorter_income sorter_sort,"income, sorter, income sorter, sort, sorted, properties, commission, accounts pockets, accounts, rating"
65,4,65_open banking_banking_security_safe,"open banking, banking, security, safe, data, locationbased security, locationbased, open, access financial, secure"
66,4,66_adding money_adding_visa_money account,"adding money, adding, visa, money account, money, card issuers, topup, card, issuers, methods"
67,4,67_dispute_refund_merchant_case,"dispute, refund, merchant, case, evidence, chargeback, days, process, sufficient, decision"
68,4,68_block_merchant_unblock_payments,"block, merchant, unblock, payments, gambling, subscription, blocked, gambling block, merchants, payment merchant"
69,4,69_hide_revtag_accounts_notifications,"hide, revtag, accounts, notifications, flip, discoverability, pockets savings, disable, settings, transactions"
70,4,70_cifas_fraud_small_report,"cifas, fraud, small, report, card, freeze, use, attack, unrecognised, uks"
